ORF,gene,alanine,aspartate,glutamate,phenylalanine,glycine,histidine,isoleucine,lysine,leucine,methionine,asparagine,proline,glutamine,arginine,serine,threonine,valine,tryptophan,tyrosine
YAR035W,YAT1,0.985265987,0.998934328,0.477240429,0.993230094,0.998739915,0.996534682,0.994600016,0.963780584,0.991101595,0.619916572,0.750233855,0.98285319,0.337177691,0.947471824,0.657817629,0.998375906,0.928339764,0.998365774,0.985498223
YAR042W,SWH1,0.970313613,0.998934328,0.997076032,0.999250689,0.998739915,0.990743833,0.992824214,0.793190987,0.991101595,0.869693491,0.998093627,0.98285319,0.992665963,0.898547409,0.860100748,0.998375906,0.974333757,0.998365774,0.270278175
YAR047C,,0.970313613,0.904433469,0.849204396,0.790607887,0.998739915,0.993909456,0.992824214,0.998017381,0.991101595,0.985792674,0.73820207,0.787517355,0.562500734,0.855134021,0.960842569,0.978916155,0.855155278,0.928446454,0.951066785
YAR050W,FLO1,0.804225423,0.998934328,0.99513611,0.284580312,0.998739915,0.990743833,0.376659366,0.963780584,0.612532436,0.9242003,0.972970963,0.98285319,0.940140056,0.99668303,0.61128359,0.988725316,0.894932345,0.401381505,0.901370529
YBL001C,ECM15,0.059943837,0.566731039,0.914239584,0.999250689,0.965997419,0.716809103,0.992824214,0.998017381,0.991101595,0.841485069,0.998093627,0.957636,0.992665963,0.875537691,0.960842569,0.745219985,0.997992538,0.998365774,0.988830652
YBL002W,HTB2,0.485363467,0.998934328,0.340741763,0.968223516,0.9400434,0.990743833,0.542065244,0.952673596,0.769211857,0.407976099,0.314186603,0.064118497,0.545503585,0.855134021,0.960842569,0.998375906,0.24186467,0.029061976,4.61997E-06
YBL003C,HTA2,0.78213353,0.998934328,0.971154532,0.977209162,0.827269833,0.811131887,0.998290049,0.998017381,0.991101595,0.85525768,0.934911046,0.832647925,0.618390466,0.99668303,0.514131292,0.998375906,0.955662012,0.998365774,0.881930185
YBL005W,PDR3,0.001626926,0.091480093,0.657985144,0.91003736,0.903744333,0.9990951,0.992824214,0.989145292,0.866157699,0.494370955,0.195060051,0.564522677,0.992665963,0.97949951,0.960842569,0.021638036,0.818911888,0.074386954,0.117040611
YBL006C,LDB7,0.994232738,0.998934328,0.431206321,0.999250689,0.998739915,0.990743833,0.993843906,0.999718466,0.991101595,0.985792674,0.888836444,0.98285319,0.992665963,0.931132868,0.994652069,0.998375906,0.974333757,0.998365774,0.7722708
YBL007C,SLA1,0.970313613,0.998934328,0.514173361,0.581854252,0.998739915,0.990743833,0.998290049,0.733625707,0.397144901,0.985792674,0.495122357,0.260924089,0.662704929,0.995535489,0.665667273,0.389799693,0.974333757,0.998365774,0.460659939
YBL008W,HIR1,0.318600275,0.998934328,0.982157363,0.999250689,0.998739915,0.811131887,0.000270027,0.806138111,0.991101595,0.985792674,0.430990937,0.98285319,0.992665963,0.91836908,0.888895984,0.551268671,0.052664723,0.998365774,0.856503874
YBL008W-A,,0.899218339,0.998934328,0.997076032,0.999250689,0.998739915,0.990743833,0.992824214,0.998017381,0.991101595,0.986312133,0.998093627,0.345502213,0.992665963,0.980748247,0.960842569,0.998375906,0.974333757,0.998365774,0.98325002
YBL009W,ALK2,0.851216145,0.585437183,0.337045059,0.999250689,0.998739915,0.990743833,0.992824214,0.998017381,0.991101595,0.985792674,0.998093627,0.783656829,0.551223799,0.823113133,0.387358547,0.711264026,0.974333757,0.986146214,0.917620094
YBL011W,SCT1,0.529176561,0.998934328,0.990732119,0.858527987,0.998739915,0.993909456,0.992824214,0.998017381,0.796069317,0.989060814,0.998093627,0.679704459,0.994534418,0.889260366,0.960842569,0.658502927,0.706070805,0.493047564,0.992897227
YBL012C,,7.66621E-07,0.04329167,0.998323724,0.999250689,0.998739915,0.177886845,0.993843906,0.995744387,0.81942478,0.753474002,0.888836444,0.98285319,0.89884495,0.723009395,0.279651775,0.071237694,0.416439899,0.998365774,0.907517522
YBL013W,FMT1,0.111293193,0.862255495,0.742681043,0.999250689,0.999258544,0.990743833,0.992824214,0.915268709,0.890970817,0.998725641,0.925085172,0.98285319,0.9494141,0.99668303,0.843505293,0.14428537,0.212196712,0.847346598,0.978289644
YBL015W,ACH1,0.970313613,0.998934328,0.997076032,0.999250689,0.998739915,0.990743833,0.992824214,0.963780584,0.991101595,0.911994243,0.998093627,0.9973955,0.992665963,0.951688783,0.985126504,0.998375906,0.974894787,0.998365774,0.829772556
YBL016W,FUS3,0.739622034,0.998934328,0.958815556,0.999250689,0.998739915,0.990743833,0.377179845,0.109464047,0.991101595,0.998725641,0.998093627,0.98285319,0.96775357,0.982033439,0.702463732,0.998375906,0.431005204,0.449490773,0.998929231
