Gene,P0.05,P0.11,P0.16,p0.22,P0.30,C0.05,C0.11,C0.16,C0.22,C0.30,N0.05,N0.11,N0.16,N0.22,N0.30,L0.05,L0.11,L0.16,L0.22,L0.30,U0.05,U0.11,U0.16,U0.22,U0.30
YBL022C,-0.129016752,0.016633243,0.043932218,0.004492862,0.021513635,0.627491393,0.342572137,0.297943492,0.429177456,0.494221206,1.22558408,1.353256921,0.952998315,0.565663053,0.432888577,0.132075018,-0.11493042,-0.033771548,-0.036417897,-0.018006691,0.318551993,-0.097335375,-0.258552627,-0.036962357,0.332903002
YBL024W,0.061017502,0.308009475,0.76034561,0.629964453,0.592015529,0.289237118,0.517707384,0.383328602,-0.079870836,0.25237622,0.112456399,0.306539666,0.017537855,0.32661525,0.27047891,0.616243887,0.422947111,0.385268817,-0.524383936,0.436999952,-0.430066469,-0.302493832,0.20654505,0.245435235,0.256095325
YBL030C,-0.033235832,0.253723003,0.056141784,-0.187013834,-0.560472185,0.810230493,0.835401798,1.078461682,1.377445434,1.064000881,0.165248475,0.194269294,0.326030299,-0.116099582,-0.028049352,-0.043628031,-0.397148684,-0.637656992,-0.548755843,-0.72377207,-0.280657395,-0.46492974,-0.593413017,-0.338792358,-0.295126439
YBL036C,-0.021701342,-0.244148554,-0.326482834,-0.421848031,-0.51808456,-1.583368099,-0.804027858,-0.898028909,-1.079178965,-1.405036736,-0.096699275,-0.276677781,-0.490360287,-0.173853798,-0.343674457,-0.254239663,-0.651674875,-0.459823603,-0.551184544,-0.585453814,-0.032394435,-0.084167603,-0.066639714,-0.292293416,-0.506407972
YBL039C,0.170433518,0.23801773,0.311641537,0.134638149,0.064607126,-0.434529706,1.489831621,-0.209916411,-0.012036296,-0.226160015,-1.462822411,0.285844318,-0.697290501,-0.615177433,-0.105634167,0.890990639,0.677241896,0.081640109,0.887725817,0.292273408,-1.545527176,-1.473484604,-0.628069691,-0.082527598,0.390579304
YBL041W,-0.151092136,-0.240831542,-0.380230179,-0.292896045,-0.346628152,-0.162020954,0.024268515,-0.078105303,-0.014565518,-0.279883173,0.239367927,-0.048768113,-0.168569993,-0.316127174,-0.481420152,0.044620953,-0.06296725,-0.289685619,-0.28779049,-0.301384052,-0.259985719,-0.263548186,-0.765839236,-0.418072667,-0.428776042
YBL045C,-0.001140536,-0.031118951,-0.342239899,-0.600739517,-1.284628253,0.723626025,0.833369553,1.078526767,1.186531577,0.683050024,-0.213466934,-0.476765442,-0.575908643,-1.092027965,-1.138714826,-0.313168611,-0.922333003,-1.463210736,-1.400749126,-1.420668292,0.037981095,-0.527505799,-1.074960286,-0.855071602,-1.022646345
YBL047C,0.107940699,0.250912236,0.324344945,0.344453715,0.242439887,0.558641111,0.803518191,0.668745347,0.710068003,0.604474206,0.801602184,1.142110124,0.980378847,0.662966285,0.51174696,0.44952469,0.226787763,0.461750903,0.257908125,0.546919284,1.131454029,1.114759949,0.714507949,0.698186469,0.524984278
YBL050W,0.207135036,-1.235739432,-0.223699883,-0.152391233,-0.517408754,0.260893983,-0.185114543,-0.199666383,-0.13684337,-0.210627607,0.419831155,0.409627342,0.497473802,-0.137681312,-0.190173147,0.22132038,-0.104039955,-0.118096904,-0.307918116,-0.035247088,-0.010624893,-0.056589819,0.159301231,-0.33264959,0.006707889
YBL064C,-0.088142322,-0.564146104,-1.009441704,-1.313074485,-2.050268902,0.641478779,0.175147314,0.15634481,0.363633068,-0.082647897,0.466079694,-0.371329705,-0.446488425,-1.256533687,-1.207186345,-0.889023822,-1.678900698,-1.973007962,-1.975503136,-2.229698213,0.853979001,-0.409188423,-1.336633058,-1.329238771,-0.843038347
YBL068W,0.949825321,0.232199905,-0.045230181,0.055036838,-0.461341428,-3.221707698,0.030259409,-0.68326471,-0.436620081,-0.808747012,-0.685065118,-5.360218945,-0.454694845,-4.561298676,-0.650276279,-0.220230893,-0.717902936,-0.411642954,-0.238859064,-5.336139763,-4.613494989,-4.188645935,-0.751568335,-0.026229802,-0.064666783
YBL075C,-0.130880031,-0.408669405,-0.633468969,-0.775146311,-0.783865482,-0.331694303,-0.808658493,-0.771295401,-0.571473351,-0.790605622,0.155082809,-0.799571784,-0.81277871,-0.867131243,-0.698686159,-0.883125216,-1.025475555,-1.136964607,-1.025504211,-0.777489108,0.111180204,-0.507984636,-0.836729133,-0.966073898,-0.839999701
YBL076C,-0.043673502,0.037945879,0.146971609,0.37362373,0.44468822,-0.185323658,0.019022532,-0.037745158,0.071309418,0.288149312,-0.409311271,-0.1654385,-0.061029073,0.202187837,0.308879925,0.880011087,0.72542812,0.744988153,0.585158479,0.610231227,-0.123400164,0.409148007,0.942559931,0.597382475,0.350438357
YBL091C,0.052309825,0.193007756,0.300893148,0.162195337,0.339151856,0.038633477,0.013946547,-0.270383998,0.108085602,0.204260315,-0.005621805,0.335402083,0.236516286,-0.001467523,0.285206349,0.670665524,0.552979346,0.509920414,0.356603939,0.436536432,-0.124815856,0.309252812,0.259606051,0.321138597,0.286307675
YBL092W,0.013214147,0.685215689,0.927651875,1.277109986,1.480636485,0.894992925,1.023722185,1.193871255,1.31785568,1.625412112,1.014039531,1.009798075,1.119644199,1.537254615,1.577154381,1.450609581,1.37358769,1.622739079,1.722629292,1.811882603,0.391662773,0.806119582,1.194131565,1.362495401,1.579794527
YBL099W,-0.027459787,-0.013957994,-0.230828837,-0.460210464,-1.212686798,0.547671449,0.567273998,0.725992643,0.946612658,0.393556215,-0.414897275,-0.470710446,-0.376845395,-0.820515029,-0.977627231,-0.293628139,-0.921758497,-1.257804229,-1.135726369,-1.33188297,-0.194865706,-0.629269204,-0.936010136,-1.022889854,-0.908297465
YBR006W,-0.278167478,-0.976216705,-1.457904519,-1.916633061,-2.410217861,-0.107897391,-0.51657377,-0.942914326,-1.436504584,-1.906199235,1.155320234,0.142952916,0.258643961,-1.065830243,-1.48084688,-1.431905532,-1.485885638,-1.745765214,-2.253750939,-2.096639145,0.529946043,-0.771208551,-1.311605628,-1.996361191,-1.501596842
YBR011C,-0.052455319,0.038533861,0.089060231,0.084607994,0.069082953,0.220038225,0.077037533,0.112122414,-0.074246239,-0.107571539,-0.014903797,0.166002279,0.200797461,0.245268579,0.244740573,-0.104886334,0.11477404,0.1288142,0.266206487,0.231045378,0.434921363,0.1328969,0.242706483,1.072666023,0.249238244
YBR025C,-0.111778916,0.024283295,0.14340984,0.148230741,-0.006976174,0.172029823,-0.051645733,-0.091277776,-0.162326273,-0.068423456,0.341511171,-0.129377003,-0.113251768,0.088312926,0.078537802,0.253629897,0.206030894,0.270820454,0.318398,0.294709659,0.13559524,-0.135769763,0.109638699,1.037788531,-0.107187958
YBR026C,-0.305056217,-0.479272361,-0.787418685,-1.021166661,-1.350509222,0.780082756,0.726748099,0.512993366,-0.123439674,-0.795249358,0.584355003,-0.1796496,-0.287811757,-1.110825127,-0.898782033,-1.178022872,-0.834414017,-1.326053138,-1.032271094,-1.040038767,-0.01530983,-0.517877012,-0.975674729,-0.195501023,-1.220731575
YBR029C,-0.393075085,-0.060530102,0.247410035,0.068566071,0.536552253,0.740661469,1.144132644,0.99239347,0.988017652,0.52802926,-0.144687773,0.737010635,0.786915091,0.321626644,-0.014558379,-0.446166451,-0.002725575,-0.200823033,0.21247228,-0.162826524,0.621010451,-0.508871637,-0.028961633,0.884839481,1.224008398
YBR031W,0.061032254,0.684233395,0.984157112,1.364924256,1.640338902,0.882744731,1.127174651,1.190542267,1.346120152,1.63001199,0.903971599,0.92271692,1.068245781,1.426961093,1.56956127,1.270826628,1.414344977,1.430272396,1.618567882,1.832683692,0.321722204,0.774686792,1.142159178,1.32169313,1.503106527
YBR035C,0.254141196,0.236513211,0.221743788,0.9812225,1.309110535,0.030749726,0.318823987,0.32830686,0.189039354,0.235852144,0.498361724,0.497585915,0.654100206,0.286584487,0.288616153,1.537676901,1.0417393,1.08480884,0.447699324,0.13328629,0.380621405,0.643927783,0.82838404,0.971140268,0.226065518
YBR039W,-0.124119938,-0.099528678,-0.243610274,-0.371171668,-0.999263235,0.575112907,0.614056639,0.73289442,1.064411392,0.520300998,-0.242326724,0.122670229,-0.517374702,-0.64139143,-0.904013701,-0.220839145,-0.925198188,-1.230863092,-1.404121068,-1.610207595,-0.170764791,-0.681872812,-0.898244499,-0.871987327,-1.192488571
YBR046C,-0.30326238,-0.507725258,-0.366725047,-0.106599753,-2.300179931,0.730039404,1.132281845,0.13005006,-0.225623048,-1.733298523,0.89581003,-0.149231641,-0.317751174,-0.476807363,-0.106970482,1.454574982,1.386924949,0.522218318,-0.061519605,-0.789463635,-0.922667195,-0.93587517,4.855490135,0.512562959,3.532190882
YBR052C,0.239844284,0.1087639,-0.244689422,-0.311205008,-0.362681344,0.164273536,-0.081838721,0.128499178,0.611305561,0.200120729,1.845331022,0.515860654,0.868409836,0.22610432,0.668656229,0.108955911,0.62754364,-0.787503704,1.360150621,1.187956569,-0.064538359,-0.157772115,-0.629578175,-0.426051075,-0.345525902
YBR054W,-0.311487696,-1.510238355,-1.408549536,-2.519577136,-2.38682966,-2.504627306,-2.182694537,-3.615795448,-2.269404318,-2.97283874,-1.742278895,-3.206771376,-5.856697949,-3.575532766,-5.304737521,-3.306297997,-4.869277195,-2.369597649,-2.560773813,-2.967973921,0.987295513,-2.300027607,-2.821460493,-3.180692063,-5.016691836
YBR056W,-0.078760357,-0.249054252,-0.546308915,-0.491443697,-1.440844338,0.346552615,-0.277982957,-0.540893218,-0.703304667,-0.711927903,0.481995582,-0.015540667,-0.099950135,-0.624610161,-0.819885815,-0.504860598,-0.82983797,-1.362687734,-1.10276306,-1.583077992,0.499051639,0.037603376,-0.590386725,-0.849350249,-0.714378042
YBR072W,-0.339503637,-1.638082573,-2.405095232,-3.961075286,-4.258378138,-0.732719032,-2.424020002,-2.200076293,-4.189269016,-4.529619924,-0.821144991,-3.953396707,-4.411706749,-4.949564788,-3.308645043,-4.881620173,-5.733895106,-4.740808217,-5.414114804,-5.279607786,-0.446759105,-2.823125227,-4.247740157,-5.737754933,-4.236942665
YBR078W,-0.011922841,-0.072717785,-0.016923501,-0.254646095,-0.608124513,-0.671489841,-0.474356676,-0.517325718,-0.452394954,-0.526401287,0.298915345,-0.312594107,-0.284018786,-0.529337693,-0.438171428,-1.292439526,-0.809510592,-0.655743526,-0.592838628,-0.461448773,-0.935429693,-1.003055315,-0.907104277,-0.938725673,-1.406148944
YBR079C,0.023485765,0.175149307,0.244967236,0.226813498,0.587185621,0.035561453,0.163689851,0.119103862,0.19238758,0.364862338,0.211024774,0.186499307,0.191250639,0.313119919,0.278306238,0.309815452,0.287121013,0.283077114,0.259983589,0.531200334,-0.227049225,-0.066091924,0.387132738,0.171660635,0.179919482
YBR080C,0.130933697,0.346207261,0.415355656,0.433831655,0.415558496,0.14533054,0.064920889,0.386403853,0.179276988,-0.012289953,0.510517591,0.43173516,0.447369036,0.293239506,0.429528415,0.255795452,0.245743207,0.271640264,0.330494574,0.236953871,-0.11439238,0.05362746,0.489427266,0.264147234,0.235294512
YBR082C,0.138436635,-0.028173611,-0.255804205,-0.164781177,0.012915236,0.080045799,-0.157417742,-0.181276858,-0.37600441,-0.243107513,0.400421392,0.106157216,0.147435186,0.19356566,0.10869792,0.309802705,0.322891892,0.294807167,0.07250731,0.054082193,0.384759667,-0.022269263,-0.887979929,-0.163257003,-0.180454466
YBR084W,0.098362207,0.183098404,0.271355791,0.569115167,0.639969998,-0.417729861,0.218236832,0.056845056,0.005536919,0.26074985,-0.398225238,0.088770219,0.26531581,0.514789459,0.750274417,1.059301855,0.980791945,1.024952061,1.00643544,0.85462387,0.812825105,1.018009286,1.283612305,1.05078343,0.985808396
YBR085C-A,-0.106198068,0.12558028,-0.448992636,-0.312575986,-0.684426431,0.410789579,0.089378572,-0.325093543,0.101991293,-0.014037736,0.882642439,0.720350699,0.402064892,0.07302297,-0.315430618,0.334079186,-0.510252722,-0.974122657,-0.980090438,-1.442022361,0.935376536,-0.302738738,-1.721718541,-0.795145339,-0.0354561
YBR088C,0.058644102,0.098540519,0.088622438,-0.032658308,0.053294775,0.439661448,0.205545135,-0.07096678,0.088903286,0.120330854,0.56156017,0.448387289,0.560201053,0.143768432,-0.117685242,-0.829896114,-0.734298228,-0.971688633,-0.744373235,-0.242562014,-0.889553638,-0.850238272,-1.024768979,-1.325868808,-0.483547211
YBR089C-A,0.029597481,0.822295734,1.195203834,1.680291127,1.989857446,2.098904001,2.352105786,1.816868714,1.894638233,1.981713624,1.979312254,1.636979585,2.840130048,1.891501953,1.63966464,1.591034123,1.712714075,1.251841062,2.172991949,2.137678151,1.27675882,1.378353841,1.789068683,2.603159201,1.605670798
YBR093C,0.221715663,-0.291592602,-0.669904886,-1.661912959,-3.335941673,-6.029004696,-7.261297347,-7.54705163,-5.93493852,-5.716753902,-4.693515555,-5.391448455,-5.141330916,-4.378027893,-4.934156447,-6.711667093,-6.143824754,-3.816349723,-4.57535429,-5.268404372,-5.10505073,-5.674180596,-4.47298319,-5.417698011,-4.476097675
YBR101C,-1.728917853,0.058206681,-0.774409212,-1.147427682,-2.159970427,-0.19718131,-1.43916123,-0.56640054,4.616894766,-1.987491562,-1.003452938,-0.697526007,-0.765033493,3.373729368,-1.031883675,-0.524619385,-0.66322196,-0.292817923,-1.066418866,-0.369885188,-0.185433154,-0.808890747,-0.750559231,-1.053042516,0.734538809
YBR106W,0.097558681,0.524507549,0.633045325,0.67533531,1.186522682,0.593975054,0.495666832,0.469570602,0.574528277,0.518520592,0.901910331,0.935702174,0.963411979,1.184949837,1.074114855,-0.448469495,0.529882113,0.649981941,0.742950613,0.871167021,-0.228589075,0.123388898,0.497310717,0.820184477,0.508112114
YBR109C,0.095888799,0.132283429,0.124448227,0.021225498,0.022704094,0.000757845,-0.189926924,-0.35122949,-0.328305094,-0.2086811,0.358176532,0.5556312,0.484608762,0.04955077,-0.18105002,0.390460902,0.066441254,0.04023866,-0.09009541,-0.248661753,-0.284375767,-0.195939628,-0.116745271,-0.41554605,-0.150709013
YBR111C,-0.068885336,-0.302371388,-0.426762452,-0.72780115,-1.122934041,-0.494024537,-0.833705713,-0.934613423,-0.8853535,-1.023371172,-0.254567568,-0.588036424,-0.574167035,-0.856984097,-1.029866459,0.130492192,-0.488724926,-0.600172848,-0.800567298,-1.085141606,-0.434708839,-0.76140224,-1.05706462,-1.258853938,-1.092675171
YBR112C,-0.090929628,-0.03500424,-0.068749086,-0.073920559,-0.234062009,0.286052617,0.217446271,0.129412801,0.062889443,0.03575599,0.726880069,0.903126984,0.873108384,0.061341753,-0.039029776,0.114496629,0.075704247,-0.067215011,-0.06567441,-0.002883638,-0.644606743,-0.109947418,-0.362263743,-0.267315667,-0.081938285
YBR115C,-0.112415087,-0.17314671,0.008802042,0.288592114,0.544750336,0.17945855,0.122403038,0.212770247,0.382179698,0.541816243,-0.272575305,0.027421788,-0.03333163,0.195691262,0.567784942,1.368089355,0.973148512,0.961239604,0.962345595,0.759154851,-0.047017806,0.814306921,1.033020311,0.824463273,0.027067613
YBR117C,-0.577790934,-2.643681334,-4.10640463,-5.585655769,-3.979286824,1.632266894,0.891272115,-0.563769961,-2.593870486,-2.756125584,1.383692086,-2.040034516,-3.187044457,-2.860817956,-3.209061809,-2.469649135,-3.072958392,-2.94117374,-3.517790635,-3.451206455,0.919344811,-0.540676247,-1.350110777,-3.681883341,-2.84685957
YBR121C,0.051680456,0.306931346,0.422812344,0.477628203,0.475341209,0.049556209,0.283808478,0.351614057,0.400730123,0.428059865,-0.112663723,0.311241058,0.38801364,0.358778145,0.446371889,0.509101793,0.445683618,0.453426415,0.399252686,0.474845484,-0.026596073,0.142938356,0.464791832,0.293908136,0.40832221
YBR126C,-0.165361732,-0.414539972,-0.647793031,-0.821000089,-1.28149172,0.300061847,-0.004366664,-0.56045008,-0.360461482,-0.682039627,0.782632564,0.065286026,-0.093770315,-0.757136842,-0.916097913,-0.66252582,-0.967476451,-1.123384266,-1.149895305,-1.100281143,0.38097834,0.321619897,-0.805410888,-0.600166746,-0.442015463
YBR127C,0.073439063,0.169237171,0.195244423,0.252976678,0.211247678,-0.197166539,-0.271714728,-0.222416644,-0.013126101,0.173672788,0.457891702,0.726415978,0.836584036,0.63764506,0.56600881,-0.247191421,0.040473348,0.198991394,0.166891298,0.260173006,0.0976798,0.249461689,0.347981855,0.35782099,0.434764889
YBR143C,-0.303590207,0.166948573,0.179504448,0.315776675,0.400596846,-0.171184207,0.180368698,0.110452619,0.16651843,0.550768867,0.087550062,0.223131664,0.305650817,0.359183176,0.546802871,0.570796898,0.548691666,0.566364536,0.233515951,0.6437607,-0.512123837,-0.128814286,0.128332945,0.057425099,0.173852535
YBR145W,0.063825309,-0.256338744,-0.171222346,-0.41560043,-0.241229498,0.429782861,0.325736971,0.02948821,-1.168687226,-1.404983114,-0.936695398,-0.63767956,-0.748429966,-0.835332821,-0.43378476,-0.867200172,-0.624013596,-0.390577093,-0.334036078,-0.600301327,-1.769488325,-1.070396271,-1.111313383,-0.779182559,-0.555714426
YBR149W,-0.088719574,-0.091195035,-0.204169986,-0.175204386,-0.624042654,1.151562005,0.959869253,0.550218454,0.24157236,-0.003198473,0.905434827,0.82407571,0.784465545,0.183273536,-0.017813222,-0.054167899,-0.22078155,-0.367313912,-0.311634386,-0.410176642,0.35394904,0.237610723,-0.273839874,-0.306591162,-0.112217719
YBR154C,0.086594988,0.15801121,0.172481417,0.126444715,0.252137458,-0.327862266,-0.109004264,-0.428823759,-0.056074251,0.264050189,0.080950951,0.285940331,0.000395618,0.165591375,0.145080744,0.245251781,0.099135834,0.199035927,0.286337305,0.0809887,-0.66649642,-0.367809495,0.228626699,-0.087310612,-0.169117288
YBR159W,0.166910019,-0.585147304,0.103020195,0.16859514,0.541905059,0.252072699,-0.215008797,-0.143978052,0.083128794,0.070003146,0.501957069,0.541344787,0.580927874,0.769402362,0.254676034,0.299639503,0.188185135,0.080606198,-0.12288761,0.398413141,-1.438607315,-0.151993421,-0.131123968,0.01760161,-0.057144091
YBR160W,0.118568582,-0.213075326,-0.181553164,-0.476508672,-0.392643365,-1.058937136,-1.251935754,-1.722126572,-1.480035698,-1.504737426,-0.781141044,-1.109284541,-1.051514939,-0.997215811,-0.589007861,-1.077889403,-0.930674167,-0.884494402,-0.783458814,-0.948106642,-0.632864115,-0.790541123,-1.059912662,-0.773032325,-0.59287343
YBR164C,0.181754753,0.486125434,0.438775083,0.489813067,0.565092499,0.176722787,0.302622746,0.47391883,0.294854343,0.34410189,0.388869928,0.907668285,0.443882044,0.662170176,0.538230972,0.543975977,0.320756016,0.234552337,0.299844303,0.73313533,0.033314184,0.181720093,0.381021343,0.410621636,0.888093169
YBR169C,-0.226260562,-0.604795765,-0.70364408,-1.148059142,-0.838111668,-0.711163088,-1.184704627,-1.358413142,-1.439777253,-1.527119335,0.128720465,-1.155733182,-1.300184963,-1.061538343,-1.054228653,-0.806907774,-0.997648636,-1.269963137,-1.1560411,-0.995439602,0.19504171,-0.333770711,-0.300888691,-0.671494611,-0.483763355
