Metabolite,Model_Metabolite_ID,Conversion_to_Absolute,P0.05,P0.11,P0.16,P0.22,P0.30,C0.05,C0.11,C0.16,C0.22,C0.30,N0.05,N0.11,N0.16,N0.22,N0.30,L0.05,L0.11,L0.16,L0.22,L0.30,U0.05,U0.11,U0.16,U0.22,U0.30
3-(4-hydroxyphenyl)pyruvate,t_0107,NA,0.186145072,0.149284006,0.075812942,0.043821173,-0.138799502,0.223705491,0.083799554,0.019563544,0.21251327,-0.563013611,2.754160197,1.419276891,2.291585844,2.298898149,2.056389749,2.014084458,1.609359478,0.613220439,0.002048191,-0.213485156,0.429088936,0.084990064,0.098869852,0.114292473,0.096981331
3-hydroxy-3-methylglutaryl-CoA,t_0117,NA,-0.114014893,0.259184059,0.333450092,0.188591566,-0.297714302,1.00087411,0.82486956,0.801132978,0.734439507,0.068751228,-2.063361997,-1.252077377,-1.584864758,-1.560184356,-1.757501484,1.412657042,1.317971811,1.434437507,1.321822525,0.833156215,0.939742056,0.457608105,0.620850534,0.152081166,-0.279612567
3-phosphoglycerate,t_0139,2.13E-05,-0.077738058,0.514019703,0.86989215,1.254360471,1.680240625,5.522300059,5.883549037,5.970136612,5.137711145,5.002749754,5.282186123,5.522651909,5.262345439,4.296727932,4.076474467,2.756700186,2.521110874,2.307357715,2.3216473,2.607897529,1.002237454,1.119485514,1.744792706,2.059856799,2.342209811
"3',5'-cyclic AMP",t_0099,2.59E-07,-0.00216207,0.13716651,0.212286916,0.276110569,0.274336245,0.011549872,0.064700829,0.051554532,0.074355264,-0.119954744,0.315497807,0.237657072,0.183802262,-0.030444658,-0.16235271,0.092404264,0.048621572,-0.062288972,-0.080151598,-0.0176575,0.379653621,0.318519482,0.304321392,0.181408408,0.059097879
"6-O-phosphono-D-glucono-1,5-lactone",t_0194,NA,-0.089459529,-0.240253292,-0.176862711,0.20450074,0.601117392,1.17351376,1.34918268,1.534971874,1.233682489,2.624494402,1.290312055,2.133432866,1.942002356,2.227461081,2.6132451,1.32490921,1.655680372,1.924716216,2.085324465,2.144227127,1.074347937,1.38804183,1.719716705,2.127088058,2.393941256
6-phospho-D-gluconate,t_0198,8.90E-06,-0.206191559,2.550635323,3.648710342,5.037904508,5.201483535,5.086230115,5.546989627,5.851165575,6.194841802,5.399213594,3.646573394,3.239782106,4.326667841,4.869701438,4.584469909,4.0490329,4.295664446,4.404163441,4.758261139,5.002436584,3.459180907,3.632204235,4.430967866,4.690799756,4.705934898
9H-xanthine,t_0206,NA,0.014515882,-0.616351955,-0.928938833,-1.449911664,-1.675300881,-1.442430564,-1.50795645,-1.555291288,-1.812512843,-1.576743826,-2.343531177,-1.536979554,-2.253355131,-2.444713694,-2.492745801,-1.23447973,-1.394734319,-1.227467307,-1.320599659,-1.556588306,-2.340236436,-2.48531432,-2.58764605,-2.660441144,-2.619433107
acetyl-CoA,t_0211,1.38E-05,-0.059444782,0.607065665,0.815747862,1.011816082,0.772238066,0.611873294,0.732403897,0.846778814,0.869109581,0.681819573,-0.069727052,0.322504687,0.3866966,0.457818795,0.22958456,1.701156389,1.590086455,1.371425343,1.224588307,0.977340882,1.211316977,0.969404929,1.214945492,1.038262743,0.777735442
adenosine,t_0215,NA,0.227340835,-0.727805043,-1.506245893,-2.851460599,-3.813976518,-6.260014361,-6.440962821,-6.501518449,-6.31247614,-6.585600413,-5.558397971,-5.497532145,-5.577580904,-5.498980396,-5.810763468,-3.365017364,-4.134330518,-4.833041255,-5.487933705,-6.189326169,-3.665780281,-4.148640049,-4.783289023,-5.232194681,-5.564712046
ADP,t_0219,5.50E-05,-0.041110167,0.327194988,0.531883554,0.823430585,0.861530161,0.823999221,0.884686789,0.896936631,0.925981034,0.769721462,0.629070862,0.765555941,0.647786744,0.607149966,0.472745448,1.040339687,1.116630779,1.191391346,1.217770927,1.241667524,0.07321361,-0.009768294,0.168438814,0.181719745,0.193201265
alpha-D-ribose 1-phosphate,t_0230,7.88E-06,-0.176735026,1.630703971,2.504308058,3.903340694,4.391101783,3.055047467,3.553331543,3.854200895,4.113760045,4.52740946,3.333902574,3.425329016,3.928780645,4.429376308,4.393689273,3.102764075,3.612634796,3.908837988,4.32186804,4.721107572,2.483058312,2.839780324,3.504037277,3.949322133,4.15211084
"alpha,alpha-trehalose 6-phosphate",t_0225,NA,0.086777326,-0.207932142,-0.199490634,-0.022704712,-0.078388363,-0.609204745,-0.757904593,-0.880294999,-0.666833214,-1.072230606,1.540388975,1.028023884,1.048895412,0.789745565,0.538572248,1.881183175,1.815322779,1.213820233,0.793380709,0.675929589,1.045298822,0.597537576,0.55632373,0.272100609,-0.009751
AMP,t_0234,1.50E-05,0.059243786,-0.092046228,-0.221613445,-0.537429213,-0.820293229,0.401123828,0.158512789,0.030457273,0.041640522,-0.79500854,-0.045977239,-0.496955125,-0.308767059,-0.433996448,-0.575187334,0.443735657,0.184781246,-0.115231576,-0.380091561,-0.617375341,-0.020612818,-0.334572005,-0.418703583,-0.643957118,-0.794788432
ATP,t_0239,0.000183362,-0.109196468,0.52859097,0.872684843,1.33822893,1.482567138,2.426492347,2.490793784,2.526931623,2.472949206,2.282999194,1.25743606,1.488295948,1.432960261,1.448543655,1.410530138,1.660133532,1.85767109,2.133597884,2.314669447,2.39827608,0.983379033,0.991382122,1.312781022,1.381330495,1.424876231
carbamoyl phosphate,t_0248,NA,-0.002569081,-0.017744221,-0.032146373,-0.04423088,-0.037846631,0.087785108,0.072046455,0.080700031,0.07995996,0.127639385,-0.011079037,-0.033628742,0.040344418,0.109234951,0.164714964,-0.010551267,0.004475815,0.016468074,0.029658345,0.02041945,0.199939016,0.23153687,0.228610307,0.247197202,0.254135663
CDP,t_0252,NA,0.003355467,-0.256319569,-0.22996548,-0.030186613,0.152709227,0.313752549,0.108256976,-0.008579955,0.165313899,0.084228917,0.475357181,0.171275422,0.166719258,0.348530243,0.498703722,0.320325401,0.610524469,0.885162297,0.984244084,1.087639405,-0.185574465,-0.17528332,-0.209626125,-0.117463486,0.029296927
choline,t_0270,NA,0.285037911,-1.525494782,-2.344963391,-3.364966134,-4.157049095,-4.712722111,-5.61453452,-6.01649992,-5.443062292,-6.457817798,-3.018296157,-4.125642281,-3.812525846,-3.519250913,-3.574869278,-0.255455256,-0.617843547,-1.504512865,-2.436362538,-3.261162702,-0.754239471,-1.692688828,-2.422910249,-3.133005325,-3.670033399
citrate,t_0276,0.007371821,0.248173564,0.33492399,0.372946672,0.317880771,0.060937468,-2.736856727,-2.567386822,-2.774041476,-2.505254525,-3.817096925,1.0046576,0.139458627,-0.360595701,-1.271120889,-2.321474277,-0.358183825,-0.943231313,-1.651931568,-2.214237482,-2.124029895,-5.747420375,-6.312358973,-6.421584505,-6.440590864,-6.215741548
CTP,t_0281,2.13E-05,-0.088911927,0.399272101,0.727422738,1.274769503,1.49148107,2.738266618,2.807246507,2.843819243,2.689441457,2.709922785,1.876643644,2.292634313,2.047597654,2.115930995,2.065522798,2.362246745,2.583514139,2.930300624,3.037988474,3.073912037,-0.440607219,-0.459529673,0.02078604,0.342094375,0.669512786
cytidine,t_0283,NA,0.183096325,-1.171068974,-2.037491518,-3.322365236,-4.129285616,-6.560494363,-6.910160413,-7.005075466,-6.773603241,-6.452251424,-7.126455166,-6.518323782,-6.967380064,-6.295656841,-6.261478017,-4.001037943,-4.347933079,-4.207166595,-4.574653159,-5.287856641,-6.119435701,-6.407104306,-6.984982122,-7.027074377,-6.866049734
cytosine,t_0284,NA,0.162829282,-1.321997636,-2.213296924,-3.517416772,-4.001434441,-4.13111177,-4.438954217,-4.499022426,-4.652796506,-4.051582607,-4.925653662,-4.518694119,-4.725216812,-4.215577391,-3.89310916,-3.846928465,-4.193292194,-4.029039514,-4.250326241,-4.752773531,-4.930408159,-4.881279209,-5.35328168,-5.136095946,-4.760395326
D-erythrose 4-phosphate,t_0288,NA,0.041799062,-0.556652257,-0.668356371,-0.754084205,-0.89496886,0.758610986,0.199379402,-0.100189112,0.089510825,-0.887590459,0.286254578,-0.275997421,-0.309659144,-0.33796121,-0.348331265,1.481737476,1.577822309,1.534594194,1.293271579,1.056763076,0.520201785,0.025507885,-0.090643589,-0.415427722,-0.598038849
D-fructose 1-phosphate,t_0291,NA,-0.174485817,1.055852815,1.639500709,2.450196973,2.763564552,2.440566686,3.076290427,3.381420327,3.032850016,3.759473104,2.155163722,3.303102406,2.856510321,2.581577622,2.341253071,2.13999599,2.258402145,2.425083193,2.666857464,2.900121182,0.897802618,1.101466632,1.74946685,2.023794827,2.138935605
"D-fructose 1,6-bisphosphate",t_0290,1.95E-05,-0.248382264,1.610515145,2.76840536,5.000400994,5.898780149,1.801480352,2.878394044,3.45200459,3.522891727,5.766163668,5.138633171,6.696890271,6.258137093,6.451696172,6.2359922,5.531255662,6.306460763,6.379899452,6.676592818,7.193860781,3.36223879,3.702495168,4.798706382,5.398196632,5.55421198
D-fructose 6-phosphate,t_0292,NA,-0.174485817,1.055852815,1.639500709,2.450196973,2.763564552,2.440566686,3.076290427,3.381420327,3.032850016,3.759473104,2.155163722,3.303102406,2.856510321,2.581577622,2.341253071,2.13999599,2.258402145,2.425083193,2.666857464,2.900121182,0.897802618,1.101466632,1.74946685,2.023794827,2.138935605
D-glucose 1-phosphate,t_0297,NA,-0.174485817,1.055852815,1.639500709,2.450196973,2.763564552,2.440566686,3.076290427,3.381420327,3.032850016,3.759473104,2.155163722,3.303102406,2.856510321,2.581577622,2.341253071,2.13999599,2.258402145,2.425083193,2.666857464,2.900121182,0.897802618,1.101466632,1.74946685,2.023794827,2.138935605
D-glucose 6-phosphate,t_0298,0.000127953,-0.174485817,1.055852815,1.639500709,2.450196973,2.763564552,2.440566686,3.076290427,3.381420327,3.032850016,3.759473104,2.155163722,3.303102406,2.856510321,2.581577622,2.341253071,2.13999599,2.258402145,2.425083193,2.666857464,2.900121182,0.897802618,1.101466632,1.74946685,2.023794827,2.138935605
dATP,t_0310,6.09E-07,-0.073774759,0.393223678,0.610505233,1.058460643,1.327439619,0.20325925,0.657586132,0.929723812,0.741219109,1.916245266,0.874116252,1.697713991,1.520092673,1.660842741,1.711787584,0.673493116,0.808977287,0.921692455,1.073585892,1.2121,0.028144142,0.344374507,0.690567133,1.080515681,1.316403716
dCTP,t_0313,7.28E-07,-0.014706268,0.833553578,0.994533854,1.161503539,0.901887608,1.27900782,1.564476684,1.843028608,1.662686415,1.908490693,0.9413987,1.407611024,1.82446,2.216280453,2.037262497,2.473190334,2.15943664,1.748810322,1.445928929,1.046819859,-0.012628068,-0.112937047,0.403009355,0.700667222,0.841991185
dGDP,t_0323,NA,-0.101985291,-0.248618125,-0.163135731,0.052302539,0.292110178,2.087109684,2.112586729,2.139666033,1.752438964,2.245481852,1.163327631,1.936062394,1.432251526,1.229903083,1.368579467,1.48452722,1.673769135,1.933612178,2.035888418,2.048788283,0.952013491,0.97504545,1.260656411,1.342669787,1.40673405
dihydroxyacetone phosphate,t_0331,0.00010292,-0.105145736,0.956670912,1.552604595,2.742509029,3.183776681,-0.087923769,0.436335325,0.744095046,1.057895213,2.236548621,1.836980348,2.345324362,2.415844563,2.913792433,2.887956861,2.102534162,2.6061122,2.770494048,3.007841786,3.307389927,1.170055992,1.456645503,1.918092104,2.330153228,2.505352278
dTTP,t_0341,NA,-0.075169818,1.313379188,1.635929561,1.909226463,1.556990511,2.053152695,2.47014617,2.831800257,2.585406025,2.733468542,0.624363566,1.469521117,1.817915142,2.260725017,1.962102956,2.898310145,2.544393454,2.266233668,2.032970932,1.573413808,-0.296743922,-0.4052855,0.304275468,0.643560319,0.810931997
FAD,t_0359,9.37E-06,-0.017239758,0.040351609,-0.046406337,-0.418856483,-0.749917636,0.925226519,0.820665035,0.77992086,0.55921547,-0.053058572,-0.70291063,-0.498547033,-0.583950141,-0.8385166,-0.994200558,0.339679529,0.035315385,-0.134040192,-0.300423347,-0.582259282,0.337384967,0.068859097,0.093938339,-0.191119831,-0.429165532
farnesyl diphosphate,t_0098,NA,0.011840707,0.419920083,0.492876156,0.755318991,0.604745084,0.657630965,1.416544479,1.920974026,1.10184121,2.767003283,3.033580448,4.800862457,4.381829125,4.059053259,3.610619907,4.704439143,4.06855964,2.890424274,2.084194258,1.500461638,0.220656697,-0.077740136,0.811229778,1.18761752,1.263328577
FMN,t_0370,NA,-0.071020432,0.225659381,0.339793248,0.432801328,0.357254953,0.694364549,0.705730506,0.748035788,0.737640188,0.652535411,-0.196776528,0.045272693,0.07466298,0.074245046,0.067731108,0.698262122,0.730675569,0.71523484,0.747319626,0.668413466,1.79089447,1.714052405,1.784031261,1.567316303,1.294110559
fumarate,t_0375,0.000118603,0.141186378,0.295801844,0.304349278,0.455530564,0.478429351,-0.12384668,0.141843819,0.284764203,0.220865828,0.465971809,3.025563075,2.478052215,3.008478976,2.931050049,2.697798132,1.746065717,1.364581097,0.457434889,-0.025943407,-0.095267989,-0.182143972,-0.242543042,-0.030871152,0.272792262,0.451150256
glutathione,t_0383,0.005793472,0.067646853,0.058020791,-0.105704628,-0.562513918,-1.051216164,-0.200543666,-0.452154643,-0.564019138,-0.482024813,-1.500525472,-1.14855128,-1.531596157,-1.290652759,-1.285934909,-1.509552608,0.117904105,-0.247419827,-0.562964839,-0.881462651,-1.260481715,-0.659277058,-1.053329541,-1.163597732,-1.440878322,-1.630047083
glutathione disulfide,t_0384,0.001540626,0.198324566,0.092843819,-0.237951553,-1.003287751,-1.776514094,-0.493249742,-0.981929337,-1.190394186,-0.890443239,-2.748692369,-0.739055389,-2.198854811,-1.215630064,-1.061846675,-1.370445129,0.312546596,-0.365206152,-1.223649881,-1.885774537,-2.473411364,-0.586971235,-1.196954132,-1.480533166,-1.860050108,-2.128279646
glyceraldehyde 3-phosphate,t_0386,NA,-0.100983943,0.979224171,1.582486203,2.721194436,3.006109086,0.087455121,0.508166181,0.756810459,1.115906148,1.850422169,1.846678794,2.239691781,2.326294327,2.679107666,2.522671658,2.776585231,3.18560589,3.136307872,3.222143245,3.390334151,2.050424091,2.090776522,2.524727006,2.670541021,2.592049924
GMP,t_0394,3.47E-07,-0.041562846,-0.240655791,-0.3623191,-0.649688017,-0.777070369,-0.209970642,-0.047260136,0.020921206,-0.419049111,-0.005631036,-1.025077902,0.032957153,-0.68660324,-1.106022018,-1.237313146,-0.238312715,-0.448282228,-0.444715489,-0.519900742,-0.681669812,-0.860319206,-0.954166547,-0.851073684,-0.938205068,-1.004267694
GTP,t_0395,2.48E-05,-0.106577525,0.602777611,0.901752532,1.342664754,1.502139864,1.08122776,1.45640124,1.682744018,1.510243591,2.171912,0.746100856,1.504493111,1.360410603,1.43364082,1.401373906,1.040601431,1.144526023,1.295827212,1.463668812,1.5472019,0.554082048,0.748384545,1.121173127,1.349156185,1.451911376
guanine,t_0396,NA,-0.027965725,-1.431454793,-2.070221329,-3.12748493,-3.382867535,-1.533660563,-1.506909182,-1.520242568,-2.483749143,-1.449895643,-3.632546597,-1.45525255,-3.192564717,-3.922112857,-3.909471176,-2.121434503,-2.4714793,-2.131358205,-2.25049092,-2.644445629,-3.740212025,-3.878507739,-3.92864071,-4.003567912,-3.901153084
guanosine,t_0397,NA,0.067235134,-1.984511151,-2.929825781,-4.511710338,-5.065873626,-4.102282109,-4.28051077,-4.468724858,-5.286793424,-4.735323587,-5.650482632,-3.699761656,-5.710961941,-6.754866478,-6.924227206,-3.770916439,-4.337764618,-4.228345733,-4.565018756,-5.090660387,-4.829934687,-5.26499735,-5.732376527,-6.219092244,-6.404881887
hypoxanthine,t_0415,NA,-0.056495794,-0.804069037,-1.103691676,-1.677186483,-1.766085603,-0.549191464,-0.460291021,-0.482352258,-1.155949464,-0.592756167,-2.10286811,-0.571374967,-1.914092086,-2.639990931,-2.719709637,-1.418315016,-1.604620583,-1.292245166,-1.266084125,-1.391781014,-2.171064928,-2.251893263,-2.259037453,-2.389448104,-2.389101875
inosine,t_0423,0.000422763,0.207401204,-2.110841703,-3.453517317,-5.646490533,-6.719419534,-8.493571537,-8.961554419,-9.175585459,-9.282618092,-8.990421647,-9.764601612,-8.717251616,-9.77951355,-9.841418943,-9.813118839,-6.710660484,-7.392669304,-7.431195332,-7.886487186,-8.710267033,-5.810223566,-6.227955531,-7.28860942,-7.920566471,-8.255657345
isocitrate,t_0452,NA,0.122927236,-0.047750936,-0.046233061,-0.431255506,-0.537513575,0.303277336,0.233915794,-0.163192627,-0.330618885,-2.285961629,0.916400058,0.162946059,-0.724480099,-2.267988529,-3.100490875,-1.518693179,-2.017788103,-2.188846307,-2.340723697,-2.020485818,-4.099291637,-4.535928878,-4.779902009,-5.119284825,-5.083499359
keto-phenylpyruvate,t_0457,0.000192373,0.165447114,-0.339912178,-0.543164614,-0.740549993,-1.100203822,-1.17413611,-1.275735831,-1.356301571,-1.387740465,-1.799279157,1.33221148,1.100238776,0.997556947,0.582570701,0.108228496,2.396008326,1.900578887,0.846297388,0.018643364,-0.448839883,-0.464248147,-1.167224278,-1.117120792,-1.374395109,-1.612492485
L-alanine,t_0461,0.054432711,0.035177478,0.001595396,-0.07395381,0.001377907,-0.427690976,-0.918058738,-1.371281182,-1.402011567,-0.823615137,-1.134876626,-1.374922269,-1.732728043,-0.996731317,0.103855174,0.26102448,2.212328732,2.36201275,2.178040063,1.822404367,1.204572385,1.265639494,0.830177482,0.843034055,0.697924139,0.489358648
L-arginine,t_0467,0.030999195,-0.01026546,0.231185812,-0.023717937,-0.230325399,-1.022796115,-3.579402148,-3.690731167,-3.343411479,-2.846205339,-1.743729336,-5.035600275,-4.027535841,-3.258966394,-1.329606406,-1.003661687,1.138677401,1.156867748,1.06356282,0.690478867,-0.364477274,0.108631682,-0.110777885,0.031370097,0.138067325,0.006116633
L-asparagine,t_0468,0.001754238,-0.139910651,-0.191947973,-0.388580153,-0.784312497,-1.156454461,-0.458678415,-0.885980526,-0.888771862,-0.675029386,-0.549403223,-5.432525612,-4.609296652,-4.551877591,-3.29303666,-2.7278951,-1.681818368,-1.28286352,-0.123140035,0.309382474,-0.119088086,-1.054905881,-0.92290652,-1.022383172,-0.978252073,-0.865743448
L-aspartate,t_0469,0.034201618,0.01813934,0.249743048,0.284719949,0.541776169,0.517781756,-1.335920995,-1.223574463,-1.041968705,-0.76633295,-0.031669948,-0.388820224,-0.304223165,0.144732809,0.914380084,1.063907436,0.61941104,0.751963418,0.686166501,0.620278734,0.473637325,-0.03815547,0.078949977,0.195620435,0.487797849,0.640043324
L-citrulline,t_0471,0.000232994,-0.227950266,0.70677914,0.658178476,0.77283643,0.51206319,1.227168391,1.330723906,1.991130978,1.92337589,4.34957663,-4.367716822,-2.397126845,-1.303450674,1.674881272,2.839625895,1.082873915,1.594218968,2.850263329,3.307913554,2.465726814,-0.860064777,-0.070771951,0.703929302,1.973296146,2.901205311
L-cystathionine,t_0472,NA,0.044197153,-0.481694947,-0.951020697,-1.685027306,-2.435634704,-2.016298922,-2.425946939,-2.435950611,-2.347666265,-2.392740194,-4.386560908,-3.717060074,-3.689994096,-2.805560764,-2.691377244,-0.018621935,-0.231673834,-0.158185068,-0.540054682,-1.426376814,-2.245365048,-2.673265179,-2.727347292,-2.798310046,-2.801805457
L-glutamate,t_0480,0.0816148,0.028453531,0.145445726,0.009579117,-0.342180588,-0.609449122,1.061505417,0.914700016,0.922410219,0.819112136,0.393221374,-0.527183435,-0.714354143,-0.287260531,0.07090152,0.139728156,0.058644748,-0.17395567,-0.161476172,-0.26006749,-0.542745525,-1.133188565,-1.15326712,-1.070046228,-0.885676727,-0.664767635
L-glutamine,t_0482,0.00835257,0.028440942,0.12778732,-0.165891675,-0.580849246,-1.084082148,-1.638641758,-2.014353953,-1.921140802,-1.423028832,-1.295957411,-4.350646722,-4.484161159,-3.475788761,-1.642795315,-1.119549322,-1.261573069,-1.125978551,-0.547043761,-0.469292013,-1.045788077,-2.428769703,-2.257398558,-2.335669986,-1.882522373,-1.43876824
L-glycine,t_0483,0.012642701,0.036938262,0.121343489,0.002834791,-0.021244354,-0.177746898,-0.142568233,-0.275650739,-0.144444502,0.053829474,0.460683344,-0.619960889,-0.790995006,0.012575341,1.12253138,1.464675979,0.745997858,0.806899721,0.856596254,0.754573518,0.404479544,-0.571107253,-0.450708489,-0.308037129,0.134650065,0.484238458
L-histidine,t_0484,0.005256196,-0.023498794,0.031512886,-0.247675275,-0.426489931,-1.101993186,-2.783319299,-2.900385851,-2.557504177,-2.25877713,-0.913861516,-4.520785709,-3.220498223,-2.702443117,-0.805487108,-0.411726534,1.549501124,1.623285664,1.707486581,1.361575946,0.307661616,-0.751037783,-0.927766712,-0.648240821,-0.340807672,-0.240398446
L-histidinol,t_0485,NA,-0.024065851,0.080511829,0.201269522,0.853196923,0.978782048,-2.396041173,-2.574343414,-2.471731588,-1.609150541,-0.679478472,-1.621343337,-1.795361839,-1.124086046,0.447990672,0.954258846,0.569697497,1.323052597,1.813512031,2.01721072,1.939049467,0.735169069,0.93214849,0.900020404,1.206842056,1.365492746
L-homoserine,t_0488,NA,-0.031497383,0.381146824,0.416494551,0.419806412,0.097580036,-0.185801065,-0.098860084,0.060821286,0.053690588,0.248339079,-1.009439656,-0.415234,-0.306210493,0.086975838,-0.004040153,1.285911622,1.147559253,0.991317588,0.791390064,0.386314593,0.118892587,-0.064805472,0.1720725,0.174616954,0.088725329
L-isoleucine,t_0489,0.001788756,0.033184368,-0.047661316,-0.027096334,0.32868893,0.267128237,-1.792382242,-2.277455585,-2.39364705,-1.476688897,-1.630860803,-1.893529436,-2.640986919,-1.96335525,-0.553396341,-0.191512347,0.256077652,0.863735132,1.408680786,1.521346838,1.361938138,-0.802939976,-0.844660787,-1.003451638,-0.806707426,-0.58287211
L-leucine,t_0491,0.001788756,0.033184368,-0.047661316,-0.027096334,0.32868893,0.267128237,-1.792382242,-2.277455585,-2.39364705,-1.476688897,-1.630860803,-1.893529436,-2.640986919,-1.96335525,-0.553396341,-0.191512347,0.256077652,0.863735132,1.408680786,1.521346838,1.361938138,-0.802939976,-0.844660787,-1.003451638,-0.806707426,-0.58287211
L-lysine,t_0492,0.000133962,0.022463434,-0.166381898,-0.48784326,-0.880909629,-1.634387854,-2.500442596,-2.77369716,-2.648651286,-2.393115526,-2.012741579,-4.094742929,-3.234735088,-3.020859682,-1.824282002,-1.723832236,1.214333149,1.09834943,1.003519984,0.541667708,-0.432161313,-1.112282307,-1.571863525,-1.475796192,-1.518054203,-1.619808656
L-methionine,t_0493,0.00028763,0.071251735,0.173220659,0.087475311,0.206796191,0.026274235,-2.84920725,-3.153062129,-3.129155927,-2.230403507,-2.072208807,-2.780202974,-3.543506998,-2.53095398,-0.882397109,-0.480666408,-1.029445053,-0.625393854,-0.197878511,-0.085449641,-0.281533445,-1.671084143,-1.493180985,-1.703518336,-1.322169331,-0.972984659
L-phenylalanine,t_0494,0.001515024,0.12329297,-0.309012504,-0.567095587,-0.670019932,-1.146723457,-2.108202948,-2.716146362,-2.833732944,-2.107934548,-2.487738696,-2.069743775,-2.735965503,-1.967910689,-0.611380103,-0.414600911,1.417812417,1.569071624,1.498093295,1.072960757,0.402615227,-1.204958322,-1.649252758,-1.756235471,-1.683316898,-1.579503192
L-proline,t_0495,0.001181376,0.047262788,0.126579106,0.043772631,-0.204213087,-0.592413142,1.65735205,1.123540919,0.938277242,1.184888998,-0.161097062,-0.355729727,-1.231914886,-0.522162934,0.036098921,0.08165454,1.177641383,1.080160793,1.098185248,0.900691549,0.494720802,-0.36120742,-0.695749807,-0.69285723,-0.738267717,-0.673488131
