m/z	metabolite	BY003_01	BY003_02	BY003_03	BY003_04	BY003_05	BY003_06	BY003_07	BY003_08	BY003_09	BY003_10	BY003_11	BY003_12	BY003_13	BY003_14	BY003_15	BY003_16	BY003_17	BY003_18	BY003_19	BY003_20	BY003_21	BY003_22	BY008_01	BY008_02	BY008_03	BY008_04	BY008_05	BY008_06	BY008_07	BY008_08	BY008_09	BY008_10	BY008_11	BY008_12	BY008_13	BY008_14	BY008_15	BY008_16	BY008_17	BY008_18	BY008_19	BY008_20	BY008_21	BY008_22	BY012_01	BY012_02	BY012_03	BY012_04	BY012_05	BY012_06	BY012_07	BY012_08	BY012_09	BY012_10	BY012_12	BY012_13	BY012_14	BY012_15	BY012_16	BY012_17	BY012_18	BY012_19	BY012_20	BY012_21	BY012_22	BY009_01	BY009_03	BY009_04	BY009_05	BY009_07	BY009_08	BY009_09	BY009_10	BY009_11	BY009_12	BY009_13	BY009_14	BY009_15	BY009_16	BY009_17	BY009_18	BY009_19	BY009_20	BY009_21	BY009_22	BY010_01	BY010_02	BY010_03	BY010_04	BY010_05	BY010_06	BY010_08	BY010_09	BY010_10	BY010_11	BY010_12	BY010_13	BY010_14	BY010_15	BY010_16	BY010_17	BY010_18	BY010_19	BY010_20	BY010_21	BY010_22	BY010_23	BY010_24	BY010_25	BY010_26	BY010_27	BY010_28	BY013_01	BY013_02	BY013_03	BY013_04	BY013_07	BY013_08	BY013_09	BY013_10	BY013_11	BY013_12	BY013_13	BY013_14	BY013_15	BY013_16	BY013_17	BY013_18	BY013_19	BY013_20	BY013_21	BY013_22	BY013_23	BY013_24	BY013_25	BY013_26	BY013_27	BY013_28	BY013_29	BY013_30	BY013_31	BY013_32	BY005_01	BY005_02	BY005_03	BY005_04	BY005_05	BY005_06	BY005_07	BY005_08	BY005_09	BY005_10	BY005_11	BY005_12	BY005_14	BY005_15	BY005_16	BY005_17	BY005_18	BY005_19	BY005_20	BY005_21	BY005_22	BY006_01	BY006_02	BY006_03	BY006_04	BY006_05	BY006_06	BY006_07	BY006_08	BY006_09	BY006_10	BY006_11	BY006_12	BY006_13	BY006_14	BY006_15	BY006_16	BY006_17	BY006_18	BY006_19	BY006_20	BY006_22	BY007_01	BY007_02	BY007_03	BY007_04	BY007_05	BY007_06	BY007_07	BY007_08	BY007_09	BY007_10	BY007_11	BY007_12	BY007_13	BY007_14	BY007_15	BY007_16	BY007_17	BY007_18	BY007_19	BY007_20	BY007_21	BY007_22
115	Fumarate	Fumarate_115.00	86092.10526	92341.57895	82776.31579	93991.05263	72543.13725	81755.88235	70954.90196	80319.11765	70599.5098	74416.66667	75890.68627	70048.03922	59883.82353	75905.39216	65557.84314	58411.57407	62372.22222	63365.74074	47915.44715	45106.53846	51717.27941	48280.43478	92765.38462	104748.0769	86369.23077	92767.94872	49806.47059	105245.2941	93174.11765	78111.17647	89057.05882	76270	78750	79043.52941	76731.17647	85056.47059	67487.22222	68117.36842	73081.57895	50344.95413	49397.91667	46844.18605	46335.38462	52313.46154	64623.68421	63975.56391	70638.34586	64535.33835	74528.94737	65406.39098	62069.92481	77771.42857	61553.7594	64266.54135	75407.5188	71670.67669	66581.20301	76108.57143	61384.28571	52714.96599	70762.58278	62890.96774	63784.87654	59757.26744	48268.80952	41959.33333	39091.33333	31189.33333	29887.34177	31966.77215	39225	29894.5122	34043.29268	30965.85366	37518.90244	36704.87805	30919.41176	30600.58824	36100.58824	28511.76471	36792.94118	41923.56322	36201.72414	39227.52809	52655.43478	47898.64865	40714.86486	39049.32432	39446.62162	33131.08108	44077.02703	39856.75676	37001.35135	43240.54054	29844.59459	37126.35135	47651.35135	32016.21622	29968.24324	35854.375	56933.125	40731.17647	32338.23529	34842.69663	47426.96629	28361.79775	37473.40426	54499.46809	100898.4043	55355.66038	71824.09091	110540.1639	55208.22785	60602.53165	73581.64557	41860.12658	55393.37349	53275.3012	45763.85542	45366.86747	78145.88235	57624.70588	30015.88235	54115.29412	74390.58824	47695.88235	45558.98876	49215.73034	61338.20225	57758.98876	41557.86517	45682.02247	66049.4382	44237.22222	50765.76087	68294.02174	59451.08696	76275.23364	84522.68519	203024.537	171741.9643	118588.0952	25595.39474	27800	22742.10526	22670.39474	28853.20513	23352.5641	23068.58974	26587.82051	25367.30769	38074.35897	18944.87179	28062.17949	24741.66667	34740.38462	21305.91398	23350.53763	25785.48387	25101.85185	24549.53704	22825	33384.12698	20044.25287	26608.62069	19812.64368	21720.11494	22607.22222	22152.77778	19825	27554.44444	21105	24306.11111	16266.66667	19861.11111	19912.63158	17947.36842	21043.15789	18990.90909	19130.30303	19595.08929	20269.83471	17471.90083	18833.12102	32032.06522	26705.97826	23255.97826	24098.91304	21552.17391	19191.30435	22290.21739	22913.04348	23679.34783	23246.73913	22097.82609	22576.08696	21728.80435	22051.63043	22102.17391	16711.68224	21306.54206	19248.2906	20933.07692	21108.20896	21232.74648	22413.73239
115.04	3-Methyl-2-oxobutanoate	3-Methyl-2-oxobutanoate_115.04	192743.1579	177656.8421	137813.1579	126367.3684	162017.1569	65627.94118	152744.1176	153486.2745	141851.9608	81032.84314	118351.9608	159465.1961	185823.5294	119211.2745	135918.6275	134868.5185	133902.3148	59578.7037	109821.5447	99728.84615	103676.1029	102562.3188	217149.359	200555.7692	185618.5897	172994.8718	41600.58824	72197.05882	126315.2941	205562.9412	172785.2941	164367.6471	204044.1176	191049.4118	198497.6471	164399.4118	55048.88889	132855.2632	132216.3158	161271.1009	107430	130391.8605	103569.6154	131963.8462	107022.1805	117803.3835	81378.19549	131410.5263	63493.98496	91106.01504	101912.406	130492.8571	101468.0451	115037.218	128958.6466	119419.9248	140509.3985	103261.4286	99479.28571	98618.70748	118275.4967	100820.3226	117079.0123	100488.0814	88010.95238	88706.66667	79078	76106.66667	97714.55696	129201.5823	118206.7073	72783.53659	71140.2439	78373.78049	113323.1707	94928.04878	94337.64706	71098.23529	70594.11765	80285.29412	105378.2353	88991.37931	70774.13793	111908.427	80051.08696	88339.86486	93554.72973	157337.1622	85792.56757	72286.48649	225111.4865	103135.8108	75302.02703	125364.1892	106777.7027	85641.89189	277539.1892	77221.62162	87038.51351	75285.625	114408.125	179428.8235	71928.23529	71247.75281	74490.44944	59116.85393	59926.59574	70656.91489	77805.85106	95499.0566	74607.72727	230128.6885	95116.4557	132624.6835	103134.1772	76498.10127	94251.20482	84669.27711	93284.93976	81310.24096	126475.2941	117564.7059	201682.3529	85620	151888.2353	117567.0588	66495.50562	78629.77528	155956.1798	97014.04494	81151.68539	80891.57303	138775.2809	71076.11111	79536.95652	85103.80435	75005.43478	60942.05607	63987.96296	77814.35185	86084.82143	71988.09524	62523.68421	66188.15789	56207.89474	50200.65789	58485.25641	62579.48718	60321.79487	59210.89744	62694.87179	60450.64103	32109.61538	54885.89744	54653.20513	61775.64103	57345.69892	46337.09677	49211.82796	47710.64815	43231.01852	42664.58333	42292.46032	42183.33333	54489.65517	50558.62069	58025.28736	50387.22222	56135	56497.77778	56276.11111	55162.22222	56962.77778	46010	46306.11111	54051.05263	49943.15789	52178.94737	43415.65657	55051.51515	39461.60714	42706.19835	41855.78512	30261.46497	61899.45652	57045.65217	51597.28261	57276.08696	62863.58696	40917.3913	61211.95652	44357.06522	50765.21739	49673.36957	48154.8913	60134.23913	54810.32609	53750.54348	61344.02174	45056.54206	41821.49533	38755.98291	41448.84615	40055.59701	32998.59155	39680.98592
116.03	L-Aspartate 4-semialdehyde	L-Aspartate 4-semialdehyde_116.03	22102.10526	16289.47368	17259.47368	15537.89474	17778.43137	14087.2549	16306.86275	16073.03922	15441.66667	11526.96078	13237.7451	14055.39216	18559.80392	14231.37255	14258.82353	16941.66667	12600.46296	14393.05556	14818.69919	13940.76923	12288.23529	12629.71014	29401.28205	26050	30444.23077	25110.89744	10965.29412	19752.35294	21355.29412	21835.29412	23012.35294	20621.76471	22951.76471	20930	23151.17647	20936.47059	14727.22222	14357.89474	15733.15789	17394.95413	14915.83333	15081.78295	12365.38462	12327.30769	14727.81955	14716.54135	13196.2406	15074.43609	13119.54887	11927.81955	13490.97744	15585.33835	13539.09774	14071.80451	17226.31579	12222.55639	15881.95489	14029.64286	12435.35714	14464.62585	15065.89404	15349.67742	15555.55556	14106.97674	10150.95238	14194.66667	13732	12993.33333	15974.05063	15699.68354	14759.14634	13162.80488	10240.85366	14319.5122	13787.80488	13787.80488	11619.41176	12602.35294	11802.94118	12290	14347.05882	12307.47126	11252.87356	14172.47191	15192.3913	23363.51351	21864.18919	25465.54054	23020.27027	16372.97297	22975	17723.64865	18590.54054	27435.13514	19583.78378	16098.64865	26214.18919	15921.62162	15264.18919	17423.125	20733.125	20547.64706	12230	15871.91011	21497.75281	12367.97753	13688.82979	17745.74468	24496.80851	17666.98113	14988.63636	31454.91803	20108.22785	33188.60759	27363.92405	13520.88608	16025.3012	15746.98795	16259.63855	16578.91566	24521.17647	18078.23529	15790.58824	19065.88235	29108.23529	15198.82353	16430.89888	14753.37079	22704.49438	18157.86517	19648.31461	14643.82022	26825.2809	16269.44444	16505.43478	19707.6087	13721.73913	14408.8785	15520.83333	25730.55556	22255.35714	18935.31746	12561.84211	10000	9463.815789	12038.81579	14682.69231	9135.25641	11325.64103	11621.79487	10581.41026	10125.64103	8117.948718	10126.28205	10344.23077	11190.38462	10864.51613	8188.172043	12041.39785	10152.77778	6782.407407	7895.416667	10344.04762	9516.091954	13118.3908	11102.29885	10376.43678	9457.777778	10969.44444	9467.777778	10257.22222	15278.88889	9369.444444	18032.77778	9862.777778	9303.684211	8237.368421	9900.526316	9312.626263	9800	7902.678571	12303.71901	7601.239669	5744.904459	8757.608696	9448.369565	9048.369565	8620.108696	9003.26087	8566.847826	9066.847826	9963.586957	9300.543478	9395.108696	8575.543478	11506.52174	10971.19565	9205.434783	9628.804348	8278.504673	6864.953271	6855.555556	6528.846154	5861.567164	6708.802817	6735.56338
116.07	L-Valine	L-Valine_116.07	135836.3158	123463.6842	150000	116472.6316	113992.6471	105646.0784	115697.0588	94987.2549	150433.3333	100475.4902	106575.9804	151954.902	171703.9216	135135.2941	190037.7451	224529.1667	195624.0741	169148.1481	164613.8211	158259.6154	155831.6176	176085.1449	297978.2051	295969.2308	322380.1282	239830.7692	106691.7647	291047.0588	224174.7059	208990.5882	265897.6471	213205.8824	260390.5882	261555.2941	271947.0588	304120.5882	227780	208735.7895	220985.2632	200528.8991	173996.6667	147280.2326	171219.6154	160970.3846	76208.27068	80153.38346	76969.17293	87661.2782	54857.14286	59886.84211	78036.09023	104881.5789	63730.82707	90010.90226	131937.594	117746.2406	144999.2481	175800.7143	183324.2857	193128.5714	221975.4967	209658.0645	252450.9259	199552.3256	180559.5238	199228.6667	173240	134086.6667	136966.4557	190141.7722	186595.7317	158160.3659	141759.7561	135429.878	177079.2683	156590.2439	138695.8824	171272.3529	159122.9412	124402.3529	164875.8824	173829.8851	160472.9885	192036.5169	257953.8043	179543.2432	181868.9189	237657.4324	177858.7838	119272.2973	200081.0811	161387.1622	135589.8649	211295.9459	129060.1351	125004.7297	201367.5676	108825.6757	135217.5676	169011.875	163545	201933.5294	109545.2941	147884.8315	216875.8427	99257.30337	108143.617	162161.1702	190502.1277	122724.5283	104729.5455	157200.4098	262467.7215	316973.4177	234012.0253	198068.3544	249063.8554	243689.1566	174359.0361	217309.0361	165548.2353	263955.8824	154460.5882	234058.2353	357145.2941	187913.5294	169944.9438	174911.7978	226800	265607.8652	270594.382	176694.382	328635.3933	225338.8889	205810.3261	272705.9783	165522.2826	173960.7477	159790.7407	260004.6296	195590.625	182045.2381	104593.4211	106622.3684	90905.92105	96496.05263	150314.7436	101989.7436	113839.1026	125360.2564	104884.6154	93414.74359	71979.48718	109525.641	102282.6923	222719.2308	114738.7097	104327.4194	165801.0753	195102.3148	176409.7222	172326.25	214762.3016	88401.14943	130940.2299	109909.1954	105283.908	102416.6667	102915	96439.44444	121784.4444	127903.8889	108252.2222	150257.2222	84712.22222	101389.4737	92229.47368	97850	106252.0202	123003.5354	138333.4821	161214.0496	124530.5785	110512.4204	167485.8696	137212.5	93847.28261	93718.47826	103430.4348	83665.76087	103527.7174	109765.2174	119061.413	107254.8913	98867.3913	116286.9565	105227.7174	98848.36957	126023.913	72669.62617	138775.2336	117463.2479	141117.3077	155416.0448	138252.1127	156283.0986
117.02	Succinate	Succinate_117.02	335232.1053	322757.8947	296666.3158	279253.6842	310074.5098	203366.1765	308358.8235	289001.4706	303472.549	215967.6471	265019.1176	299825.4902	346835.7843	304294.6078	325508.3333	285147.2222	295397.2222	195568.5185	247735.3659	232585	246598.8971	243653.6232	448603.8462	416957.0513	407897.4359	371190.3846	166944.7059	296831.1765	326284.7059	384110.5882	376413.5294	354747.6471	390982.3529	390906.4706	403567.0588	404955.2941	251461.6667	316633.1579	298726.3158	291006.422	247075.4167	250712.4031	228757.6923	273906.5385	240674.812	251869.5489	205606.7669	254013.9098	183469.9248	209669.5489	229606.391	248146.2406	223409.0226	235423.6842	273048.4962	263230.4511	332771.4286	330232.8571	272000.7143	252063.9456	263460.596	240207.4194	263136.1111	228293.314	210173.0952	366990	378309.3333	380180.6667	436736.0759	373774.0506	355693.9024	368927.439	372843.2927	361306.7073	374100	336713.4146	370964.1176	314561.7647	330813.5294	374870.5882	407172.9412	371665.5172	371104.023	386355.0562	482073.3696	462264.1892	444222.2973	644221.6216	409534.4595	418980.4054	565346.6216	454170.2703	600984.4595	468546.6216	447505.4054	430589.8649	559361.4865	415812.8378	392956.7568	441344.375	613808.125	518077.0588	390913.5294	358470.2247	461867.4157	323999.4382	323263.8298	345163.2979	351040.4255	439891.5094	336754.5455	459913.5246	389584.8101	678363.2911	494982.2785	393308.2278	353083.1325	347131.9277	379265.0602	544177.1084	354821.1765	387161.7647	396748.2353	386085.8824	626791.7647	383130	435528.0899	442211.7978	554508.9888	354753.3708	483953.9326	363118.5393	621751.1236	401350	362957.6087	362274.4565	360553.2609	298816.8224	483197.6852	574903.7037	350050	343275.7937	333418.4211	217690.1316	220378.2895	260636.1842	328530.7692	253027.5641	298776.9231	258768.5897	205748.0769	161494.2308	146783.9744	211067.3077	238177.5641	221947.4359	172317.7419	186591.9355	222073.1183	174336.1111	142875.9259	185424.1667	289863.0952	228750	392919.5402	214963.2184	248412.6437	240265.5556	244953.3333	232361.1111	212326.1111	487247.7778	247474.4444	438666.6667	219952.2222	224009.4737	215760	244177.8947	204309.0909	270272.2222	183117.8571	316809.9174	169155.7851	162436.6242	240027.1739	227375	250832.6087	258178.8043	236573.3696	228363.587	263504.8913	214618.4783	239835.8696	220986.413	252380.9783	346328.2609	330147.2826	233181.5217	267513.0435	198249.0654	170057.4766	182074.359	159358.4615	143494.403	150344.7183	165916.5493
118.05	L-Threonine	L-Threonine_118.05	80502.10526	55316.84211	74087.36842	54767.89474	55210.78431	45881.86275	47337.2549	39125.4902	67302.45098	41275.98039	45505.39216	47123.03922	62346.07843	53216.17647	58235.78431	88100.46296	70961.11111	79073.14815	98427.23577	89475	82745.95588	89030.7971	239631.4103	173480.1282	235083.9744	165613.4615	64021.17647	141904.7059	108388.2353	102349.4118	155642.3529	101791.1765	124069.4118	115099.4118	121750	118506.4706	103377.7778	75483.15789	96768.42105	103485.7798	87995.83333	85274.03101	95119.23077	81228.84615	37254.51128	38842.4812	43033.83459	49205.6391	24763.90977	26865.41353	31857.14286	42527.44361	28444.73684	36345.48872	43953.7594	36956.01504	56058.27068	52164.64286	60770.71429	96892.17687	92317.21854	91956.12903	119718.2099	109605.814	105432.8571	120959.3333	120973.3333	107874.6667	104736.0759	131107.9114	110748.1707	112658.5366	89723.78049	106211.5854	113679.2683	108399.3902	119525.2941	164238.2353	106582.3529	101661.7647	115766.4706	122880.4598	139998.8506	116667.4157	268683.6957	116153.3784	118157.4324	177968.2432	121575.6757	99987.83784	123856.0811	109727.7027	95412.16216	143170.9459	88660.81081	99541.89189	113779.0541	93430.40541	122246.6216	126668.125	124490	129658.8235	72825.29412	104555.618	146546.0674	81264.04494	77935.10638	108425.5319	131167.5532	91475.9434	74657.27273	89372.13115	146108.8608	183069.6203	138003.1646	133017.7215	145325.3012	146605.4217	104992.7711	129765.0602	151067.6471	151610.5882	93844.70588	145002.3529	193830.5882	100341.1765	111179.2135	108604.4944	127952.2472	161467.9775	149521.3483	110457.8652	191061.236	148663.3333	133895.6522	175594.5652	119047.2826	117123.8318	110131.9444	162276.8519	122622.7679	102241.6667	75832.89474	68405.26316	52655.92105	66217.76316	98975.64103	58037.17949	83550.64103	88368.58974	68883.33333	78326.92308	44355.76923	69929.48718	78534.61538	107838.4615	59320.96774	61418.27957	81046.77419	88495.37037	78300	79059.16667	108255.1587	62223.56322	104383.3333	71800.57471	76414.94253	68787.22222	110409.4444	83753.88889	85927.22222	97479.44444	73793.88889	111318.3333	72181.66667	67720.52632	66572.63158	79993.68421	63478.78788	78202.0202	91423.66071	116533.8843	67240.49587	56252.54777	107770.1087	92907.06522	67341.30435	67312.5	84411.95652	60567.93478	84807.06522	72830.97826	76886.41304	65359.23913	70213.04348	91376.63043	68222.82609	62466.84783	77813.04348	48361.21495	79089.71963	69135.47009	65333.46154	69110.07463	63669.3662	67557.39437
118.05	L-Homoserine	L-Homoserine_118.05	80502.10526	55316.84211	74087.36842	54767.89474	55210.78431	45881.86275	47337.2549	39125.4902	67302.45098	41275.98039	45505.39216	47123.03922	62346.07843	53216.17647	58235.78431	88100.46296	70961.11111	79073.14815	98427.23577	89475	82745.95588	89030.7971	239631.4103	173480.1282	235083.9744	165613.4615	64021.17647	141904.7059	108388.2353	102349.4118	155642.3529	101791.1765	124069.4118	115099.4118	121750	118506.4706	103377.7778	75483.15789	96768.42105	103485.7798	87995.83333	85274.03101	95119.23077	81228.84615	37254.51128	38842.4812	43033.83459	49205.6391	24763.90977	26865.41353	31857.14286	42527.44361	28444.73684	36345.48872	43953.7594	36956.01504	56058.27068	52164.64286	60770.71429	96892.17687	92317.21854	91956.12903	119718.2099	109605.814	105432.8571	120959.3333	120973.3333	107874.6667	104736.0759	131107.9114	110748.1707	112658.5366	89723.78049	106211.5854	113679.2683	108399.3902	119525.2941	164238.2353	106582.3529	101661.7647	115766.4706	122880.4598	139998.8506	116667.4157	268683.6957	116153.3784	118157.4324	177968.2432	121575.6757	99987.83784	123856.0811	109727.7027	95412.16216	143170.9459	88660.81081	99541.89189	113779.0541	93430.40541	122246.6216	126668.125	124490	129658.8235	72825.29412	104555.618	146546.0674	81264.04494	77935.10638	108425.5319	131167.5532	91475.9434	74657.27273	89372.13115	146108.8608	183069.6203	138003.1646	133017.7215	145325.3012	146605.4217	104992.7711	129765.0602	151067.6471	151610.5882	93844.70588	145002.3529	193830.5882	100341.1765	111179.2135	108604.4944	127952.2472	161467.9775	149521.3483	110457.8652	191061.236	148663.3333	133895.6522	175594.5652	119047.2826	117123.8318	110131.9444	162276.8519	122622.7679	102241.6667	75832.89474	68405.26316	52655.92105	66217.76316	98975.64103	58037.17949	83550.64103	88368.58974	68883.33333	78326.92308	44355.76923	69929.48718	78534.61538	107838.4615	59320.96774	61418.27957	81046.77419	88495.37037	78300	79059.16667	108255.1587	62223.56322	104383.3333	71800.57471	76414.94253	68787.22222	110409.4444	83753.88889	85927.22222	97479.44444	73793.88889	111318.3333	72181.66667	67720.52632	66572.63158	79993.68421	63478.78788	78202.0202	91423.66071	116533.8843	67240.49587	56252.54777	107770.1087	92907.06522	67341.30435	67312.5	84411.95652	60567.93478	84807.06522	72830.97826	76886.41304	65359.23913	70213.04348	91376.63043	68222.82609	62466.84783	77813.04348	48361.21495	79089.71963	69135.47009	65333.46154	69110.07463	63669.3662	67557.39437
119.05	Phenylacetaldehyde	Phenylacetaldehyde_119.05	95509.47368	69482.10526	55971.57895	48247.89474	81547.54902	37458.33333	79648.52941	81668.62745	51591.66667	42725	71915.19608	48935.29412	75436.27451	68037.7451	49645.09804	67918.51852	60490.27778	40918.51852	42493.08943	45390.38462	49714.70588	36560.86957	116923.0769	109333.9744	100728.2051	97687.17949	60765.88235	80792.35294	80174.70588	111083.5294	92191.17647	86718.82353	104413.5294	92300.58824	91957.64706	102870	70390.55556	55482.10526	69526.84211	85583.02752	53913.33333	55826.35659	50164.23077	57492.30769	54705.6391	69509.3985	54264.66165	71660.90226	46334.96241	57772.18045	56700	61029.32331	60864.66165	66003.00752	65824.81203	53301.12782	63954.13534	48151.42857	48392.85714	57993.87755	53188.07947	48617.41935	47776.85185	48468.02326	39331.66667	69070	52766.66667	50982.66667	58124.05063	64234.81013	64259.14634	51586.58537	55908.53659	51850	58091.46341	59937.19512	54843.52941	59336.47059	57873.52941	50674.11765	58902.35294	56010.91954	47824.13793	59139.88764	66507.06522	70006.75676	74731.75676	84902.7027	64854.72973	50012.83784	71201.35135	59718.24324	57017.56757	82808.78378	56977.02703	55173.64865	75700.67568	55294.59459	61827.02703	55408.125	77761.25	65736.47059	49990.58824	57562.35955	74707.86517	45893.25843	42706.38298	48419.14894	70427.12766	46259.43396	42018.18182	68954.91803	70014.55696	93906.32911	109718.3544	65248.73418	65006.0241	65955.42169	56390.96386	66315.66265	90617.05882	74485.88235	60064.70588	65025.88235	82597.05882	55872.94118	51446.62921	53650.5618	76898.31461	81778.08989	86025.2809	56155.61798	76350.5618	63130.55556	58283.15217	67641.84783	53138.04348	44971.96262	54627.31481	83843.98148	74927.23214	54563.09524	38708.55263	35836.84211	35224.34211	34301.97368	41874.35897	43762.82051	44200	44723.71795	49451.28205	40857.05128	34830.12821	38657.05128	41121.79487	46850.32051	34958.60215	37644.08602	50875.26882	39456.94444	33332.87037	31585.83333	35708.73016	29683.33333	43339.08046	33955.17241	34218.3908	34014.44444	42238.88889	40256.66667	38979.44444	46618.33333	35167.22222	54549.44444	32818.33333	35156.84211	33833.68421	36620	32638.38384	33349.49495	28532.58929	39023.1405	24788.84298	21268.47134	36894.02174	39485.32609	34260.86957	33744.56522	39934.23913	35161.95652	42483.15217	37235.86957	32410.32609	37311.41304	38099.45652	52385.32609	37534.23913	32749.45652	43793.47826	30143.92523	32085.04673	29452.99145	27934.61538	32279.47761	26150	27124.29577
122.02	Nicotinate	Nicotinate_122.02	226882.1053	228133.6842	248426.8421	215633.1579	152119.6078	170765.1961	196469.1176	182676.4706	175581.8627	182796.5686	175215.1961	179276.4706	194311.7647	177013.7255	160285.7843	174875.9259	125537.5	130602.3148	121302.0325	120480	130579.0441	99982.6087	235115.3846	256267.3077	255866.0256	230028.8462	168214.7059	180438.2353	202534.7059	227210.5882	195815.2941	216123.5294	220273.5294	207305.2941	221170	217018.2353	193045.5556	165892.6316	160502.1053	149526.6055	121722.5	106745.3488	120236.9231	113845.3846	114773.6842	180844.7368	137014.6617	142541.7293	125637.218	121919.1729	115286.8421	132547.7444	116819.9248	129424.812	119982.3308	125622.1805	131306.391	109142.5	106930.3571	106519.0476	85960.59603	81989.35484	73873.14815	83158.72093	61074.04762	170028.6667	165207.3333	205634.6667	274028.481	205524.0506	159478.6585	171760.9756	127399.3902	279446.3415	190600.6098	212403.6585	179322.3529	161477.6471	157988.8235	184547.0588	266039.4118	140554.023	174614.3678	174597.7528	116112.5	173881.7568	159476.3514	215024.3243	193514.1892	203062.8378	225238.5135	211475	248967.5676	235825	234035.1351	200070.2703	234079.7297	195839.1892	207164.8649	160582.5	163421.25	188510.5882	161001.1765	144814.0449	121135.9551	242780.3371	128157.9787	124981.9149	126730.8511	137770.7547	147215.4545	154506.5574	147270.2532	156097.4684	124789.8734	152842.4051	151112.6506	142516.8675	170653.012	179825.3012	145320.5882	149738.2353	220421.7647	139884.7059	149853.5294	162189.4118	153361.7978	140862.3596	137696.6292	128361.236	121417.9775	131820.7865	141266.2921	130406.1111	150240.7609	129743.4783	145744.0217	105995.7944	109325.463	108026.8519	108205.8036	108170.2381	203520.3947	147642.1053	148353.2895	225438.1579	151671.7949	172637.1795	198945.5128	164657.0513	129433.9744	107837.1795	121987.1795	202535.2564	192426.9231	147737.5	175308.0645	152372.043	105045.6989	106940.2778	106776.3889	103250.8333	86359.52381	196206.8966	145582.1839	174116.092	163669.5402	146205.5556	199064.4444	154177.2222	116151.1111	232294.4444	169326.6667	237710.5556	159736.1111	153461.5789	161932.1053	161493.6842	147318.6869	171338.8889	103675.8929	129938.0165	123629.3388	88718.78981	123519.0217	131232.6087	157556.5217	164008.1522	146830.9783	159794.5652	150089.1304	121980.9783	146458.1522	146697.2826	131059.7826	165051.087	162215.7609	172651.6304	169515.7609	138432.243	96221.96262	91730.76923	98631.15385	93951.1194	75976.76056	85669.01408
127.05	gamma-Amino-gamma-cyanobutanoate	gamma-Amino-gamma-cyanobutanoate_127.05	300602.6316	302305.7895	181061.0526	123033.1579	1865943.627	1144723.039	1740774.51	1825094.608	1483090.196	1531819.118	2183456.373	1557437.255	2699925	2608598.529	2493024.51	2787398.611	3590645.833	4277764.815	4545700	4147117.308	4018001.103	3330786.957	377107.0513	231044.2308	713063.4615	250634.6154	1067665.294	1418263.529	1775519.412	2512609.412	2428594.706	2218479.412	3301204.706	3232805.882	2894961.176	3070921.765	3020998.333	3576222.632	3696491.579	4335170.642	3758625.417	3937305.426	3752812.308	2496374.231	305956.7669	266318.4211	66049.24812	73602.25564	625623.6842	1153071.053	1220075.564	806580.4511	1286666.917	1407734.211	1595950.376	1431369.549	2449159.023	1936026.071	2625691.071	3806138.435	4529455.629	4832356.452	4726995.679	4148200.291	2877590.238	1468102.667	1458460.667	1613788.667	1241325.316	1467962.658	1172069.512	1023377.439	929691.4634	1008536.585	1333226.22	1162684.146	1266755.294	1402581.176	1005904.118	1198568.235	1057911.176	996983.3333	1116637.356	1325530.899	1257920.109	859787.1622	771704.7297	1013753.378	867448.6486	573204.7297	721275.6757	780446.6216	426372.2973	975163.5135	567419.5946	580728.3784	711768.2432	543857.4324	730468.9189	787262.5	691026.25	730241.7647	427064.7059	652317.4157	869874.1573	398131.4607	293538.8298	393041.4894	307649.4681	115250	80526.81818	149130.7377	1042236.076	1382722.785	637443.038	779852.5316	1108782.53	1177825.301	716631.3253	922699.3976	1366146.471	1200504.706	1303659.412	916940	1431369.412	650780	690982.5843	647423.0337	422252.809	1104808.989	882849.4382	596764.0449	1171369.663	523806.1111	768079.3478	762063.587	421171.7391	332209.3458	188116.6667	166759.2593	103624.1071	65309.52381	1375167.763	1003831.579	836719.0789	1149390.789	821211.5385	952461.5385	1343096.154	935444.2308	855990.3846	917517.3077	712825.641	1041501.923	1405085.897	1614940.385	1025832.796	1196035.484	1254808.602	1752502.315	1269137.963	1266973.333	996358.7302	811969.5402	925310.3448	947848.8506	1166806.897	961635	748662.2222	1339170.556	955025.5556	796807.2222	1046942.778	693192.7778	1008487.778	924668.9474	955386.8421	1046060	910812.1212	1220605.556	1596438.839	1014045.868	1133710.744	699804.7771	1170292.391	1083563.587	957196.1957	993671.1957	1237503.261	1018832.065	1165726.087	888152.1739	1053004.348	823091.8478	835186.9565	809406.5217	751345.1087	863972.8261	1032973.913	815605.6075	1145060.28	1279949.145	1234417.308	1135935.075	906387.3239	813698.2394
