sample	time	condition
BY010_09	-2.5min	N_downshift
BY010_10	-2min	N_downshift
BY010_11	-1.5min	N_downshift
BY010_12	-1min	N_downshift
BY010_13	-0.5min	N_downshift
BY010_14	0.1min	N_downshift
BY010_15	0.5min	N_downshift
BY010_16	1min	N_downshift
BY010_17	1.5min	N_downshift
BY010_18	2min	N_downshift
BY010_19	3min	N_downshift
BY010_20	4min	N_downshift
BY010_21	5min	N_downshift
BY010_22	7min	N_downshift
BY010_23	10min	N_downshift
BY010_24	15min	N_downshift
BY010_25	20min	N_downshift
BY010_26	30min	N_downshift
BY010_27	45min	N_downshift
BY010_28	60min	N_downshift
BY013_01	-10min	N_downshift
BY013_02	-10min	N_downshift
BY013_03	-10min	N_downshift
BY013_04	-10min	N_downshift
BY013_07	-4.5min	N_downshift
BY013_08	-4min	N_downshift
BY013_09	-3.5min	N_downshift
BY013_10	-3min	N_downshift
BY013_11	-2.5min	N_downshift
BY013_12	-2min	N_downshift
BY013_13	-1.5min	N_downshift
BY013_14	-1min	N_downshift
BY013_15	-0.5min	N_downshift
BY013_16	0.1min	N_downshift
BY013_17	0.5min	N_downshift
BY013_18	1min	N_downshift
BY013_19	1.5min	N_downshift
BY013_20	2min	N_downshift
BY013_21	2.5min	N_downshift
BY013_22	3min	N_downshift
BY013_23	4min	N_downshift
BY013_24	5min	N_downshift
BY013_25	7min	N_downshift
BY013_26	10min	N_downshift
BY013_27	15min	N_downshift
BY013_28	20min	N_downshift
BY013_29	30min	N_downshift
BY013_30	45min	N_downshift
BY013_31	60min	N_downshift
BY013_32	80min	N_downshift
BY005_01	-10min	Rapamycin
BY005_02	-10min	Rapamycin
BY005_03	-10min	Rapamycin
BY005_04	-10min	Rapamycin
BY005_05	0.1min	Rapamycin
BY005_06	0.25min	Rapamycin
BY005_07	0.5min	Rapamycin
BY005_08	0.75min	Rapamycin
BY005_09	1min	Rapamycin
BY005_10	2min	Rapamycin
BY005_11	3min	Rapamycin
BY005_12	4min	Rapamycin
BY005_14	7min	Rapamycin
BY005_15	10min	Rapamycin
BY005_16	15min	Rapamycin
BY005_17	20min	Rapamycin
BY005_18	30min	Rapamycin
BY005_19	45min	Rapamycin
BY005_20	60min	Rapamycin
BY005_21	90min	Rapamycin
BY005_22	120min	Rapamycin
BY006_01	-10min	Rapamycin
BY006_02	-10min	Rapamycin
BY006_03	-10min	Rapamycin
BY006_04	-10min	Rapamycin
BY006_05	0.1min	Rapamycin
BY006_06	0.25min	Rapamycin
BY006_07	0.5min	Rapamycin
BY006_08	0.75min	Rapamycin
BY006_09	1min	Rapamycin
BY006_10	2min	Rapamycin
BY006_11	3min	Rapamycin
BY006_12	4min	Rapamycin
BY006_13	5min	Rapamycin
BY006_14	7min	Rapamycin
BY006_15	10min	Rapamycin
BY006_16	15min	Rapamycin
BY006_17	20min	Rapamycin
BY006_18	30min	Rapamycin
BY006_19	45min	Rapamycin
BY006_20	60min	Rapamycin
BY006_22	120min	Rapamycin
BY007_01	-10min	Rapamycin
BY007_02	-10min	Rapamycin
BY007_03	-10min	Rapamycin
BY007_04	-10min	Rapamycin
BY007_05	0.1min	Rapamycin
BY007_06	0.25min	Rapamycin
BY007_07	0.5min	Rapamycin
BY007_08	0.75min	Rapamycin
BY007_09	1min	Rapamycin
BY007_10	2min	Rapamycin
BY007_11	3min	Rapamycin
BY007_12	4min	Rapamycin
BY007_13	5min	Rapamycin
BY007_14	7min	Rapamycin
BY007_15	10min	Rapamycin
BY007_16	15min	Rapamycin
BY007_17	20min	Rapamycin
BY007_18	30min	Rapamycin
BY007_19	45min	Rapamycin
BY007_20	60min	Rapamycin
BY007_21	90min	Rapamycin
BY007_22	120min	Rapamycin
