Metabolites,ion,name,feature,coef,coef (abs),cor,pval,fdr
L-Asparagine,131.05,CDC5,YMR001C,0.084981591,0.084981591,0.390711639,0.039809668,0.124206165
Glycerol 3-phosphate,171.01,PRK1,YIL095W,-0.084511538,0.084511538,-0.627192215,0.000354368,0.004731612
gamma-Amino-gamma-cyanobutanoate,127.05,CAK1,YFL029C,-0.081122025,0.081122025,0.036437219,0.85395232,0.914009151
IMP,347.04,CDC5,YMR001C,0.08087248,0.08087248,0.107657547,0.585556347,0.724974525
UDP-N-acetyl-D-galactosamine,606.07,CAK1,YFL029C,-0.080165159,0.080165159,-0.176701369,0.368389961,0.577377452
IMP,347.04,CKB2,YOR039W,-0.079945288,0.079945288,-0.714359756,1.96E-05,0.001227883
N-Acetyl-L-glutamyl 5-phosphate,268.02,CKB2,YOR039W,-0.079735924,0.079735924,-0.712558654,2.10E-05,0.001227883
UDP-N-acetyl-D-galactosamine,606.07,CLN2,YPL256C,0.079699872,0.079699872,0.568125965,0.001611475,0.011783909
L-Citrulline,174.09,CKA2,YOR061W,-0.079214197,0.079214197,-0.611707407,0.000542582,0.005290173
L-Citrulline,174.09,CAK1,YFL029C,-0.078863981,0.078863981,0.027206375,0.890695527,0.936674489
L-Asparagine,131.05,CKA2,YOR061W,-0.078504634,0.078504634,-0.555879027,0.00213146,0.014669457
dUDP,387,CBK1,YNL161W,-0.075182466,0.075182466,0.211672965,0.279557865,0.500654865
L-Histidine,154.06,TOR1,YJR066W,-0.0740972,0.0740972,-0.245106098,0.208706693,0.452197835
UDP-N-acetyl-D-galactosamine,606.07,YAK1,YJL141C,-0.071868648,0.071868648,-0.231893265,0.235074008,0.474201017
L-Histidine,154.06,MPS1,YDL028C,-0.0718499,0.0718499,-0.160195104,0.415470597,0.593157139
L-Proline,114.06,CKA1,YIL035C,0.069662608,0.069662608,0.507869256,0.005797631,0.027132913
L-Citrulline,174.09,CKA1,YIL035C,-0.068799969,0.068799969,-0.610110305,0.000566245,0.005300053
Glycerol 3-phosphate,171.01,CLN2,YPL256C,0.068505175,0.068505175,0.480304565,0.009685249,0.039760498
L-Proline,114.06,CDC28,YBR160W,0.066923594,0.066923594,0.047587193,0.809971116,0.896106918
L-Asparagine,131.05,CKA1,YIL035C,-0.066533525,0.066533525,-0.552563119,0.002294954,0.0149172
dUDP,387,MPS1,YDL028C,-0.066340309,0.066340309,0.196384808,0.316541774,0.529076965
Glycerol 3-phosphate,171.01,CDC5,YMR001C,-0.066276957,0.066276957,-0.191197932,0.32974459,0.539582056
"D-Arabinono-1,4-lactone",147.03,CDC5,YMR001C,0.064361281,0.064361281,0.495961853,0.007273263,0.032112141
N-Acetyl-L-glutamyl 5-phosphate,268.02,CKB1,YGL019W,-0.063767291,0.063767291,-0.714172694,1.97E-05,0.001227883
L-Proline,114.06,CKA2,YOR061W,0.060651809,0.060651809,0.508372837,0.005741286,0.027132913
L-Citrulline,174.09,CKB1,YGL019W,-0.059233524,0.059233524,-0.618853901,0.000446974,0.004731612
N-Acetyl-L-glutamyl 5-phosphate,268.02,YAK1,YJL141C,-0.057392216,0.057392216,-0.546224433,0.002637699,0.015826196
L-Histidine,154.06,CAK1,YFL029C,-0.057233982,0.057233982,-0.074239377,0.707328561,0.805391825
L-Citrulline,174.09,CKB2,YOR039W,-0.055341346,0.055341346,-0.617404404,0.000465073,0.004731612
N-Acetyl-L-glutamyl 5-phosphate,268.02,TOR1,YJR066W,-0.054796426,0.054796426,-0.094492002,0.632450261,0.756979932
IMP,347.04,CKA1,YIL035C,-0.052999132,0.052999132,-0.6922466,4.48E-05,0.001396653
L-Proline,114.06,CLB2,YPR119W,-0.050502993,0.050502993,0.212574759,0.277466552,0.500654865
L-Proline,114.06,CAK1,YFL029C,-0.050096656,0.050096656,-0.04478847,0.820963171,0.898863577
IMP,347.04,CKA2,YOR061W,-0.049891099,0.049891099,-0.690085999,4.84E-05,0.001396653
dUDP,387,CLB2,YPR119W,0.049209505,0.049209505,-0.265365193,0.1723233,0.395329924
UDP-N-acetyl-D-galactosamine,606.07,TPK1,YJL164C,-0.047954715,0.047954715,-0.456187357,0.014689813,0.057290271
"D-Arabinono-1,4-lactone",147.03,RIM15,YFL033C,-0.04675159,0.04675159,-0.435746567,0.020458636,0.07365109
Xanthine,151.03,MPS1,YDL028C,-0.045454886,0.045454886,-0.288850001,0.136026552,0.337745673
"D-Arabinono-1,4-lactone",147.03,CAK1,YFL029C,-0.043872524,0.043872524,-0.210145723,0.283122557,0.500654865
Xanthine,151.03,CBK1,YNL161W,-0.042871418,0.042871418,-0.238903519,0.220821246,0.4684293
N-Acetyl-L-glutamyl 5-phosphate,268.02,CAK1,YFL029C,-0.042531949,0.042531949,0.031311867,0.874321845,0.925752542
"D-Arabinono-1,4-lactone",147.03,YAK1,YJL141C,-0.042523129,0.042523129,-0.42740892,0.023291836,0.076764643
gamma-Amino-gamma-cyanobutanoate,127.05,CDC28,YBR160W,-0.042186086,0.042186086,-0.040079613,0.839531186,0.909492118
Glycerol 3-phosphate,171.01,YAK1,YJL141C,-0.041857961,0.041857961,-0.091219205,0.64433631,0.756979932
"D-Arabinono-1,4-lactone",147.03,CBK1,YNL161W,0.041689961,0.041689961,0.417501746,0.027066587,0.086761388
L-Histidine,154.06,CKA2,YOR061W,-0.03886907,0.03886907,-0.498021262,0.006997494,0.031488723
Xanthine,151.03,RIM15,YFL033C,-0.038222677,0.038222677,-0.067460558,0.733042096,0.824672358
Glycerol 3-phosphate,171.01,CDC28,YBR160W,0.038145796,0.038145796,0.365555255,0.055754387,0.16726316
Glycerol 3-phosphate,171.01,MPS1,YDL028C,0.037134347,0.037134347,0.03606749,0.855418821,0.914009151
L-Citrulline,174.09,TEL1,YBL088C,-0.037091601,0.037091601,-0.444474166,0.017802191,0.067396012
L-Asparagine,131.05,CKB1,YGL019W,-0.036322632,0.036322632,-0.543569938,0.002793791,0.016191789
Xanthine,151.03,TOR1,YJR066W,-0.035711077,0.035711077,-0.276378338,0.15453751,0.362030534
L-Histidine,154.06,CLB2,YPR119W,0.035655179,0.035655179,-0.047106259,0.81185755,0.896106918
"D-Arabinono-1,4-lactone",147.03,CKA2,YOR061W,-0.035209304,0.035209304,-0.465709255,0.012505045,0.049596282
L-Citrulline,174.09,CDC5,YMR001C,0.034921926,0.034921926,0.149273437,0.448372433,0.624518746
Glycerol 3-phosphate,171.01,CBK1,YNL161W,0.034769519,0.034769519,-0.323010997,0.093626338,0.2577478
UDP-N-acetyl-D-galactosamine,606.07,TEL1,YBL088C,-0.034744104,0.034744104,-0.402959383,0.033492522,0.105908787
gamma-Amino-gamma-cyanobutanoate,127.05,PRK1,YIL095W,0.034444487,0.034444487,0.21826082,0.264511685,0.500654865
L-Histidine,154.06,RIM15,YFL033C,-0.034049615,0.034049615,-0.197345623,0.314132447,0.528827285
L-Histidine,154.06,CLN2,YPL256C,-0.032926592,0.032926592,0.1745812,0.374255588,0.577377452
L-Histidine,154.06,CKB2,YOR039W,-0.032469708,0.032469708,-0.513621531,0.005181125,0.025257983
L-Citrulline,174.09,CLB2,YPR119W,0.031880037,0.031880037,-0.044515359,0.82203763,0.898863577
L-Histidine,154.06,CKB1,YGL019W,-0.03185153,0.03185153,-0.515563846,0.004985955,0.02482369
N-Acetyl-L-glutamyl 5-phosphate,268.02,CDC5,YMR001C,0.031605408,0.031605408,0.170299224,0.386266457,0.588523087
Glycerol 3-phosphate,171.01,RIM15,YFL033C,0.030331166,0.030331166,0.230092615,0.238831623,0.477663247
Shikimate 5-phosphate,253.01,CLB2,YPR119W,-0.029186365,0.029186365,-0.522964833,0.004298491,0.021866239
L-Proline,114.06,PRK1,YIL095W,-0.028658572,0.028658572,-0.389170117,0.040667939,0.125214443
L-Asparagine,131.05,CKB2,YOR039W,-0.02840116,0.02840116,-0.542088733,0.002884288,0.016191789
IMP,347.04,MPS1,YDL028C,-0.027143424,0.027143424,0.307218754,0.111774977,0.290614941
L-Histidine,154.06,CKA1,YIL035C,-0.026463855,0.026463855,-0.493498475,0.007615115,0.032998832
L-Histidine,154.06,MEC1,YBR136W,-0.024360595,0.024360595,-0.277194496,0.15327381,0.362030534
"D-Arabinono-1,4-lactone",147.03,TPK1,YJL164C,-0.023660879,0.023660879,0.091935574,0.641727167,0.756979932
"D-Arabinono-1,4-lactone",147.03,CKA1,YIL035C,-0.023281941,0.023281941,-0.466810221,0.012270882,0.04950666
Glycerol 3-phosphate,171.01,CAK1,YFL029C,-0.023244091,0.023244091,0.005648197,0.97724346,0.981437638
N-Acetyl-L-glutamyl 5-phosphate,268.02,PRK1,YIL095W,0.023109277,0.023109277,0.269161634,0.166036777,0.384679266
IMP,347.04,CBK1,YNL161W,-0.023081931,0.023081931,0.198454207,0.31136672,0.527969656
Xanthine,151.03,PRK1,YIL095W,0.022935923,0.022935923,0.143887512,0.465095307,0.632745942
N-Acetyl-L-glutamyl 5-phosphate,268.02,TPK1,YJL164C,0.022163076,0.022163076,0.419513382,0.026262473,0.085353036
N-Acetyl-L-glutamyl 5-phosphate,268.02,CKA1,YIL035C,-0.02206744,0.02206744,-0.68441497,5.90E-05,0.001396653
IMP,347.04,TEL1,YBL088C,0.021347651,0.021347651,-0.3246038,0.091927474,0.256083677
L-Citrulline,174.09,MPS1,YDL028C,-0.02127784,0.02127784,0.09752446,0.621516163,0.749663826
dUDP,387,TEL1,YBL088C,0.020793686,0.020793686,-0.200206558,0.307025828,0.527969656
Xanthine,151.03,CAK1,YFL029C,-0.020557737,0.020557737,-0.119626238,0.544298076,0.68346069
N-Acetyl-L-glutamyl 5-phosphate,268.02,MPS1,YDL028C,-0.020541559,0.020541559,0.129906101,0.509986167,0.667071679
Glycerol 3-phosphate,171.01,TOR1,YJR066W,0.020409466,0.020409466,0.16731288,0.394772512,0.588523087
"D-Arabinono-1,4-lactone",147.03,CLB2,YPR119W,-0.020369772,0.020369772,-0.120765798,0.540441978,0.68346069
dUDP,387,MEC1,YBR136W,0.019892391,0.019892391,-0.198709037,0.310733103,0.527969656
L-Histidine,154.06,TPK1,YJL164C,0.019795045,0.019795045,0.211096948,0.280898941,0.500654865
IMP,347.04,TPK1,YJL164C,0.019336733,0.019336733,0.437331265,0.019953533,0.072955107
L-Citrulline,174.09,MEC1,YBR136W,-0.018633567,0.018633567,-0.430001043,0.022378654,0.075006249
gamma-Amino-gamma-cyanobutanoate,127.05,MPS1,YDL028C,-0.018504574,0.018504574,0.130728298,0.507288663,0.667071679
gamma-Amino-gamma-cyanobutanoate,127.05,CLB2,YPR119W,-0.018390099,0.018390099,-0.288081027,0.13711897,0.337745673
L-Histidine,154.06,PRK1,YIL095W,0.018190324,0.018190324,0.258099133,0.184818395,0.407995324
Shikimate 5-phosphate,253.01,CAK1,YFL029C,-0.018015944,0.018015944,-0.174527843,0.374403901,0.577377452
UDP-N-acetyl-D-galactosamine,606.07,CKA2,YOR061W,-0.017909004,0.017909004,-0.279535682,0.149689882,0.362030534
N-Acetyl-L-glutamyl 5-phosphate,268.02,CKA2,YOR061W,-0.016423172,0.016423172,-0.684297867,5.93E-05,0.001396653
L-Asparagine,131.05,MPS1,YDL028C,-0.014226219,0.014226219,-0.187030762,0.34059111,0.551459128
Xanthine,151.03,CLB2,YPR119W,-0.012842456,0.012842456,-0.295409605,0.126963629,0.322929231
"D-Arabinono-1,4-lactone",147.03,TOR1,YJR066W,0.012439805,0.012439805,0.380997472,0.045467646,0.138174403
L-Citrulline,174.09,CDC28,YBR160W,-0.011953546,0.011953546,0.162932839,0.40743906,0.588523087
dUDP,387,CLN2,YPL256C,-0.011874003,0.011874003,0.107849288,0.584884757,0.724974525
Glycerol 3-phosphate,171.01,CKB2,YOR039W,0.011755855,0.011755855,-0.082609524,0.67600966,0.779724439
Glycerol 3-phosphate,171.01,CLB2,YPR119W,-0.010789801,0.010789801,0.090491384,0.646991395,0.756979932
IMP,347.04,CLB2,YPR119W,0.01075192,0.01075192,-0.233461406,0.231833848,0.471731483
"D-Arabinono-1,4-lactone",147.03,MPS1,YDL028C,0.010436724,0.010436724,0.167061248,0.395494072,0.588523087
L-Asparagine,131.05,TEL1,YBL088C,-0.010377544,0.010377544,-0.253667752,0.192741209,0.421508812
Xanthine,151.03,CKB1,YGL019W,-0.010289739,0.010289739,-0.327563363,0.088832838,0.253498588
UDP-N-acetyl-D-galactosamine,606.07,CKA1,YIL035C,-0.009999039,0.009999039,-0.276264795,0.154713903,0.362030534
dUDP,387,PRK1,YIL095W,0.00987561,0.00987561,0.299447386,0.121609474,0.312710075
UDP-N-acetyl-D-galactosamine,606.07,CDC5,YMR001C,-0.009871439,0.009871439,-0.167475687,0.394306059,0.588523087
L-Asparagine,131.05,TPK1,YJL164C,0.009819388,0.009819388,0.163913659,0.404583026,0.588523087
Xanthine,151.03,CDC5,YMR001C,0.009803981,0.009803981,0.128949935,0.513132061,0.667071679
L-Asparagine,131.05,RIM15,YFL033C,-0.009704316,0.009704316,-0.19217607,0.327229503,0.539582056
gamma-Amino-gamma-cyanobutanoate,127.05,CLN2,YPL256C,-0.009662156,0.009662156,0.160111591,0.415716969,0.593157139
L-Asparagine,131.05,PRK1,YIL095W,0.009654934,0.009654934,0.126387936,0.521607932,0.674343956
Shikimate 5-phosphate,253.01,MPS1,YDL028C,0.009623988,0.009623988,0.146474956,0.457021089,0.632745942
L-Citrulline,174.09,CBK1,YNL161W,-0.009233382,0.009233382,0.012094016,0.951295583,0.967839854
L-Histidine,154.06,CBK1,YNL161W,-0.008640235,0.008640235,-0.033643207,0.865045963,0.920094343
Xanthine,151.03,TEL1,YBL088C,0.008352458,0.008352458,-0.07379097,0.709020154,0.805391825
UDP-N-acetyl-D-galactosamine,606.07,RIM15,YFL033C,-0.008145928,0.008145928,0.199329521,0.309193671,0.527969656
L-Asparagine,131.05,MEC1,YBR136W,-0.007783205,0.007783205,-0.239499778,0.2196365,0.4684293
L-Histidine,154.06,CDC5,YMR001C,0.007767291,0.007767291,0.186603158,0.341716126,0.551459128
gamma-Amino-gamma-cyanobutanoate,127.05,TEL1,YBL088C,-0.007646559,0.007646559,-0.238210509,0.222203642,0.4684293
"D-Arabinono-1,4-lactone",147.03,TEL1,YBL088C,-0.007515391,0.007515391,-0.163099292,0.406953571,0.588523087
Shikimate 5-phosphate,253.01,CKB2,YOR039W,-0.007398679,0.007398679,-0.432026183,0.021685765,0.075006249
dUDP,387,CAK1,YFL029C,0.007224016,0.007224016,0.119070167,0.546184397,0.68346069
Xanthine,151.03,CDC28,YBR160W,0.007055129,0.007055129,0.158814942,0.419552612,0.59436616
L-Proline,114.06,TEL1,YBL088C,0.006489557,0.006489557,0.174296051,0.375048602,0.577377452
Shikimate 5-phosphate,253.01,CKB1,YGL019W,-0.006426073,0.006426073,-0.431049509,0.022017703,0.075006249
N-Acetyl-L-glutamyl 5-phosphate,268.02,MEC1,YBR136W,0.006175099,0.006175099,-0.175087166,0.372850879,0.577377452
L-Citrulline,174.09,PRK1,YIL095W,0.00605161,0.00605161,0.088011548,0.656069438,0.763782331
IMP,347.04,CDC28,YBR160W,0.005815642,0.005815642,0.128993059,0.512989975,0.667071679
L-Proline,114.06,MEC1,YBR136W,0.005264261,0.005264261,0.174296144,0.375048343,0.577377452
Xanthine,151.03,CKB2,YOR039W,-0.005099479,0.005099479,-0.32633255,0.090110087,0.254045306
UDP-N-acetyl-D-galactosamine,606.07,CLB2,YPR119W,-0.005081806,0.005081806,-0.13482015,0.4939696,0.656755036
L-Histidine,154.06,TEL1,YBL088C,-0.005022325,0.005022325,-0.278987686,0.15052332,0.362030534
IMP,347.04,MEC1,YBR136W,0.004855722,0.004855722,-0.315152987,0.102356219,0.272174493
gamma-Amino-gamma-cyanobutanoate,127.05,MEC1,YBR136W,0.004286442,0.004286442,-0.226884898,0.245623819,0.481181675
UDP-N-acetyl-D-galactosamine,606.07,TOR1,YJR066W,0.004278354,0.004278354,-0.050663444,0.797929704,0.88912167
UDP-N-acetyl-D-galactosamine,606.07,MPS1,YDL028C,-0.00418508,0.00418508,-0.334384392,0.082001721,0.23689386
Glycerol 3-phosphate,171.01,CKA2,YOR061W,-0.004002276,0.004002276,-0.137983069,0.483796311,0.646904782
L-Asparagine,131.05,CDC28,YBR160W,-0.003896529,0.003896529,-0.001582969,0.993621479,0.993621479
IMP,347.04,CAK1,YFL029C,0.003838668,0.003838668,0.234537863,0.22962698,0.471731483
Shikimate 5-phosphate,253.01,PRK1,YIL095W,-0.003781222,0.003781222,-0.165246193,0.400720954,0.588523087
L-Asparagine,131.05,CLN2,YPL256C,0.003678047,0.003678047,0.21228963,0.278126697,0.500654865
Glycerol 3-phosphate,171.01,CKB1,YGL019W,0.003606279,0.003606279,-0.08249693,0.676427612,0.779724439
Glycerol 3-phosphate,171.01,CKA1,YIL035C,-0.003303833,0.003303833,-0.139263072,0.479709912,0.646904782
Glycerol 3-phosphate,171.01,TEL1,YBL088C,-0.003273721,0.003273721,-0.288827623,0.136058253,0.337745673
"D-Arabinono-1,4-lactone",147.03,CDC28,YBR160W,-0.003244634,0.003244634,0.02671889,0.892642782,0.936674489
N-Acetyl-L-glutamyl 5-phosphate,268.02,TEL1,YBL088C,0.00321774,0.00321774,-0.191691478,0.328474065,0.539582056
Shikimate 5-phosphate,253.01,CKA2,YOR061W,-0.003098767,0.003098767,-0.432158858,0.021640991,0.075006249
Xanthine,151.03,TPK1,YJL164C,-0.002900934,0.002900934,0.092471868,0.639776609,0.756979932
Shikimate 5-phosphate,253.01,TPK1,YJL164C,-0.00279315,0.00279315,0.101835916,0.606105262,0.736722274
UDP-N-acetyl-D-galactosamine,606.07,CDC28,YBR160W,0.002704665,0.002704665,0.143997597,0.46475027,0.632745942
"D-Arabinono-1,4-lactone",147.03,CLN2,YPL256C,0.002332685,0.002332685,0.10140495,0.607638456,0.736722274
Xanthine,151.03,CLN2,YPL256C,-0.00219476,0.00219476,0.225508377,0.24857723,0.481181675
Shikimate 5-phosphate,253.01,YAK1,YJL141C,-0.002084778,0.002084778,-0.214488878,0.273060916,0.500654865
L-Citrulline,174.09,TPK1,YJL164C,0.001875306,0.001875306,0.091634038,0.642824909,0.756979932
IMP,347.04,CLN2,YPL256C,-0.001750643,0.001750643,0.179379329,0.361058627,0.577377452
"D-Arabinono-1,4-lactone",147.03,CKB1,YGL019W,-0.001552739,0.001552739,-0.444283366,0.017857063,0.067396012
Shikimate 5-phosphate,253.01,CKA1,YIL035C,-0.001364111,0.001364111,-0.429830655,0.022437767,0.075006249
Xanthine,151.03,MEC1,YBR136W,-0.001333413,0.001333413,-0.058313362,0.768186424,0.860074752
N-Acetyl-L-glutamyl 5-phosphate,268.02,CLN2,YPL256C,-0.001272555,0.001272555,0.236741324,0.225153578,0.470410155
L-Citrulline,174.09,CLN2,YPL256C,0.000949114,0.000949114,0.233697463,0.231348694,0.471731483
IMP,347.04,PRK1,YIL095W,-0.000834067,0.000834067,0.163713589,0.405164689,0.588523087
UDP-N-acetyl-D-galactosamine,606.07,MEC1,YBR136W,-0.000742633,0.000742633,-0.362436258,0.058037643,0.171065041
L-Histidine,154.06,CDC28,YBR160W,-0.000574963,0.000574963,0.209533238,0.284560244,0.500654865
Shikimate 5-phosphate,253.01,RIM15,YFL033C,-0.000532701,0.000532701,-0.21378527,0.274675114,0.500654865
Shikimate 5-phosphate,253.01,CDC5,YMR001C,-0.000514715,0.000514715,-0.067662178,0.732273067,0.824672358
"D-Arabinono-1,4-lactone",147.03,PRK1,YIL095W,0.000442644,0.000442644,0.021395382,0.913944791,0.950502583
Glycerol 3-phosphate,171.01,MEC1,YBR136W,0.000408679,0.000408679,-0.260903556,0.179923171,0.404827135
"D-Arabinono-1,4-lactone",147.03,MEC1,YBR136W,-0.000256911,0.000256911,-0.153923042,0.434198387,0.608397739
N-Acetyl-L-glutamyl 5-phosphate,268.02,CDC28,YBR160W,-0.000249376,0.000249376,0.123582321,0.530966823,0.68267163
Shikimate 5-phosphate,253.01,TEL1,YBL088C,0.000227893,0.000227893,-0.006415441,0.974153193,0.981437638
Xanthine,151.03,CKA1,YIL035C,-0.000167039,0.000167039,-0.312761776,0.105129936,0.276409046
Shikimate 5-phosphate,253.01,CLN2,YPL256C,-0.000156866,0.000156866,0.121559292,0.537764533,0.68346069
N-Acetyl-L-glutamyl 5-phosphate,268.02,CBK1,YNL161W,-8.87E-05,8.87E-05,0.145404193,0.460353426,0.632745942
Xanthine,151.03,CKA2,YOR061W,-6.58E-07,6.58E-07,-0.315190697,0.10231292,0.272174493
"D-Arabinono-1,4-lactone",147.03,CKB2,YOR039W,0,0,-0.442132615,0.018485289,0.068659646
N-Acetyl-L-glutamyl 5-phosphate,268.02,CLB2,YPR119W,0,0,-0.222916892,0.254200589,0.487565064
Shikimate 5-phosphate,253.01,CBK1,YNL161W,0,0,-0.078945011,0.689660098,0.791080701
UDP-N-acetyl-D-galactosamine,606.07,CKB1,YGL019W,0,0,-0.225397486,0.248816165,0.481181675
Shikimate 5-phosphate,253.01,TOR1,YJR066W,0,0,0.105360757,0.593627077,0.728170017
L-Asparagine,131.05,CLB2,YPR119W,0,0,-0.163742938,0.405079335,0.588523087
Shikimate 5-phosphate,253.01,MEC1,YBR136W,0,0,0.016651815,0.932975755,0.957527749
L-Asparagine,131.05,CBK1,YNL161W,0,0,-0.018233258,0.926626566,0.955200953
L-Asparagine,131.05,TOR1,YJR066W,0,0,0.014419954,0.941942999,0.96250944
UDP-N-acetyl-D-galactosamine,606.07,CKB2,YOR039W,0,0,-0.225604309,0.248370648,0.481181675
Shikimate 5-phosphate,253.01,CDC28,YBR160W,0,0,-0.214700142,0.272577433,0.500654865
