	NaCl_1200	NaCl_2700	NaCl_300	NaCl_60	NaCl_600	alpha_1200	alpha_2700	alpha_300	alpha_60	alpha_600
YJL164C	-0.25771887589	0.184961543172	0.10092714175	0.194621356143	-0.166209127009	-0.267475592966	-0.974747028981	-0.214218731702	-1.42321396885	0.0520432012868
YJR066W	-0.756263233452	-0.479540460614	-1.1152692275	-0.968188492973	-1.3516026534	0.696526697818	-0.186223161085	0.92449444016	-0.142696341255	0.866025082776
YLR113W	0.441100692779	0.6601711074	0.136740466461	0.0411854218527	0.463839284553	0.46162646095		0.781123085461		0.351544834058
YLR226W	-0.36009149578	-0.425684318004	-0.609798156429	-0.359560566011	-0.185525801069	-1.23049320344	-0.311488946455		-0.331949231708	-0.927723194347
YMR001C	-0.311541085569	-0.980073415909	-0.476081561159	0.366236598392	-0.381436997935	-0.0284658938999	0.169782772715	0.132372955849	0.923699124501	0.380356872307
YMR104C	-0.371659728143	-0.466565184813	-0.0884326363021	-0.439609764742	-0.146887822779	0.0101514983097	0.0488306123547	-0.115196901315	-0.417074373984	0.0329625715399
YNL053W	-0.143783077427	-1.13346817781		-0.1632315962		1.57650214166	1.6853061535	0.855370229281		0.810449813221
YNL154C	0.216500287172	-0.0463613542256	0.539418085603	0.00349772493545	0.339369010929	-1.92743420701	-1.22234826468		-0.193045606909	-2.25193496464
YNL161W	-3.46798745043	-2.0558447881	-3.25007130605	0.428803163085	-3.96908252477	-0.574718530679	-0.0654841493233	-0.645167111479	-0.153569471944	-0.726747323459
YNL183C	0.258773207469	-0.586222479633	0.991173374621	1.1752906028	0.979744582856	-0.305723067324	-0.237152340596	-0.318337510942	0.236735491802	
YNL201C	0.088702603969	0.158296400984	0.0465766110251	0.133299716792	0.0564389616142					0.168250943229
YNL289W	-0.61037511496	-1.72448264019	-0.0125984450702	0.291810887059	-0.385405446702	0.248989232436	0.25872289734	0.482537058543	0.351571305952	-0.0354658047931
YNL307C	-0.315958120431	-0.196944696574	-0.398780717532	-0.354514613543	-0.385534864069	-0.329057579485	-0.502243095931	-0.17594851922	-0.618534983174	-0.477596822209
YOL001W	-0.334543788031	-0.384171573857	0.316180741239		-0.0143550411497	0.0368054044962	-0.0515251397833		0.868674060156	-0.076991269999
YOR039W	0.0598968086683	0.0602823642973	0.0676812057074	-0.0693808322509	0.0677146615392	0.184740320728	0.0801579709778	0.0238444595922	0.162810899941	0.11886641592
YOR061W	-0.0879006485702	-0.127542086411	-0.114376456859	-0.0523624602278	-0.105460661593	-0.340416839513	-0.158051283111	-0.501498848914	-0.0655477127714	-0.288258877106
YPL031C	-0.511354159195	-0.735274147158	-0.0248769614057	0.10715013408	-0.3154012651	-0.111638525642	-0.186029882861	0.378234438395	0.344641099323	-0.195464123158
YPL153C	0.643866972629	1.15754369043	0.122083607999	0.451343054632	0.546075245523	0.550888917568	0.15293933072	0.647787564881	0.39668803637	0.773097385384
YPL256C	1.01379800663	0.409775669954	1.04146385769	0.407259770648	1.29816100471	1.17814158759	0.992943721702	0.950306255935	0.353301483276	-0.203059281903
YPR119W	0.0930021365949	-0.420482968261	0.228699664769	-0.0505406091557	0.168224825199	0.373383429676	0.0724653593891	-1.47389886041	0.68758396601	-0.821142832228
YPR161C	-0.36009149578	-0.425684318004	-0.609798156429	-0.359560566011	-0.185525801069	-1.23049320344	-0.311488946455		-0.331949231708	-0.927723194347
