Metabolites,ion,name,feature,coef,coef (abs),cor,pval,fdr
L-Proline,114.06,ROX1,YPR065W,0.158177047,0.158177047,0.84031032,1.27E-05,0.000117414
dUDP,387,MSN4,YKL062W,-0.158029447,0.158029447,-0.951788945,1.26E-09,6.02E-07
gamma-Amino-gamma-cyanobutanoate,127.05,OPI1,YHL020C,-0.155903257,0.155903257,-0.890729444,7.22E-07,1.59E-05
L-Proline,114.06,REB1,YBR049C,-0.154305998,0.154305998,-0.888576489,8.38E-07,1.76E-05
dUDP,387,XBP1,YIL101C,-0.154251826,0.154251826,-0.897121118,4.55E-07,1.21E-05
gamma-Amino-gamma-cyanobutanoate,127.05,ADR1,YDR216W,-0.154068477,0.154068477,-0.770335894,0.000183776,0.000928503
gamma-Amino-gamma-cyanobutanoate,127.05,SNT2,YGL131C,-0.152882195,0.152882195,-0.483315729,0.042160443,0.074462667
L-Glutamine,145.06,MSN4,YKL062W,-0.152330283,0.152330283,-0.944161395,3.99E-09,1.08E-06
L-Citrulline,174.09,LEU3,YLR451W,0.150599969,0.150599969,0.474564059,0.046599009,0.080370674
L-Saccharopine,275.12,RPN4,YDL020C,-0.149626351,0.149626351,-0.881242973,1.36E-06,2.35E-05
L-Glutamine,145.06,ADR1,YDR216W,-0.14663411,0.14663411,-0.785404289,0.000112431,0.000647156
gamma-Amino-gamma-cyanobutanoate,127.05,MOT3,YMR070W,-0.146279483,0.146279483,-0.667482176,0.002473333,0.007611176
gamma-Amino-gamma-cyanobutanoate,127.05,MSN4,YKL062W,-0.145462261,0.145462261,-0.948512329,2.11E-09,8.07E-07
L-Citrulline,174.09,ROX1,YPR065W,-0.145406853,0.145406853,-0.869579045,2.77E-06,3.48E-05
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,REB1,YBR049C,0.143886225,0.143886225,0.884619588,1.09E-06,2.13E-05
Hypoxanthine,135.03,YAP5,YIR018W,0.141650749,0.141650749,0.733088631,0.000537688,0.002096983
gamma-Amino-gamma-cyanobutanoate,127.05,ARR1,YPR199C,0.141140272,0.141140272,0.238240886,0.341091078,0.415175191
L-Proline,114.06,PDR3,YBL005W,0.138994896,0.138994896,0.933571315,1.55E-08,2.27E-06
L-Citrulline,174.09,RTG3,YBL103C,-0.132520063,0.132520063,-0.402779152,0.097472049,0.150459682
L-Saccharopine,275.12,PDR1,YGL013C,0.131837792,0.131837792,0.703118079,0.001133885,0.003866473
dUDP,387,OPI1,YHL020C,-0.131175336,0.131175336,-0.920941615,5.97E-08,4.23E-06
L-Citrulline,174.09,PDR3,YBL005W,-0.124654569,0.124654569,-0.878994195,1.57E-06,2.38E-05
dUDP,387,SUT1,YGL162W,-0.122437532,0.122437532,-0.911773073,1.40E-07,5.33E-06
Fumarate,115,SNT2,YGL131C,0.118856225,0.118856225,0.665904141,0.002554289,0.007835065
L-Saccharopine,275.12,PHD1,YKL043W,0.117483122,0.117483122,0.72812903,0.000612318,0.002312528
gamma-Amino-gamma-cyanobutanoate,127.05,GAT1,YFL021W,-0.115928879,0.115928879,-0.560800232,0.015473067,0.032493441
dUDP,387,REB1,YBR049C,0.114934107,0.114934107,0.857223296,5.49E-06,6.07E-05
dUDP,387,ADR1,YDR216W,-0.113991439,0.113991439,-0.761262648,0.000242863,0.001148791
Ornithine,131.08,RTG3,YBL103C,-0.113224293,0.113224293,-0.475797113,0.045953076,0.079615891
Fumarate,115,LEU3,YLR451W,-0.112838831,0.112838831,-0.678400757,0.001969112,0.006250786
dUDP,387,SNT2,YGL131C,-0.111840996,0.111840996,-0.437059235,0.069732999,0.113897232
L-Proline,114.06,BAS1,YKR099W,-0.111662595,0.111662595,-0.849366426,8.22E-06,8.49E-05
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,PDR1,YGL013C,0.110052696,0.110052696,0.549466959,0.018175529,0.037120335
Inosine,267.07,DAL80,YKR034W,0.109975142,0.109975142,0.506643457,0.031898529,0.059413341
Xanthosine 5-phosphate,363.03,PDR1,YGL013C,0.109431003,0.109431003,0.350718362,0.153594936,0.22152447
dUDP,387,PUT3,YKL015W,-0.106851163,0.106851163,-0.614963811,0.006605187,0.016920258
Ornithine,131.08,PDR3,YBL005W,-0.10329912,0.10329912,-0.854747139,6.25E-06,6.71E-05
Fumarate,115,PUT3,YKL015W,0.102237967,0.102237967,0.81738992,3.44E-05,0.000262472
Fumarate,115,PDR3,YBL005W,0.102065298,0.102065298,0.826060726,2.40E-05,0.000199652
NAD,662.1,HAP4,YKL109W,-0.098984792,0.098984792,-0.803065933,6.01E-05,0.0004029
L-Saccharopine,275.12,ROX1,YPR065W,-0.098924056,0.098924056,-0.85204948,7.18E-06,7.50E-05
L-Glutamine,145.06,OPI1,YHL020C,-0.096981861,0.096981861,-0.876229584,1.86E-06,2.73E-05
dUDP,387,MOT3,YMR070W,-0.09571231,0.09571231,-0.671840784,0.002260639,0.007070509
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,HAP4,YKL109W,-0.095505599,0.095505599,-0.80304998,6.01E-05,0.0004029
Hypoxanthine,135.03,YAP1,YML007W,0.094570116,0.094570116,0.77095376,0.000180239,0.000913625
L-Proline,114.06,ARR1,YPR199C,-0.094232263,0.094232263,-0.364450326,0.137034439,0.201751011
L-Glutamine,145.06,GAT1,YFL021W,-0.093826962,0.093826962,-0.552775909,0.017350729,0.035614655
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,ADR1,YDR216W,-0.091119399,0.091119399,-0.621306942,0.005919544,0.015517488
NAD,662.1,PDR1,YGL013C,0.090305775,0.090305775,0.623338875,0.005712556,0.015099163
L-Proline,114.06,PUT3,YKL015W,0.089199316,0.089199316,0.694758403,0.001374655,0.004584582
Pyruvate,87.01,ROX1,YPR065W,0.089038432,0.089038432,0.85798778,5.28E-06,5.93E-05
Xanthine,151.03,ECM22,YLR228C,0.088767685,0.088767685,0.140697677,0.577624548,0.63644805
gamma-Amino-gamma-cyanobutanoate,127.05,SUT1,YGL162W,-0.088045646,0.088045646,-0.883795836,1.15E-06,2.21E-05
L-Proline,114.06,LEU3,YLR451W,-0.087569083,0.087569083,-0.507913815,0.031401123,0.058658402
NAD,662.1,GAT1,YFL021W,-0.086969469,0.086969469,-0.740737378,0.0004376,0.001794536
gamma-Amino-gamma-cyanobutanoate,127.05,ROX1,YPR065W,-0.085572855,0.085572855,-0.8234668,2.68E-05,0.00021586
gamma-Amino-gamma-cyanobutanoate,127.05,REB1,YBR049C,0.084765606,0.084765606,0.846026385,9.68E-06,9.54E-05
NAD,662.1,RTG3,YBL103C,-0.084470977,0.084470977,-0.525802332,0.025014023,0.048382387
L-Glutamine,145.06,REB1,YBR049C,0.084385089,0.084385089,0.835226483,1.61E-05,0.000142156
Inosine,267.07,MAC1,YMR021C,0.08399802,0.08399802,0.206799818,0.410311301,0.481636914
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,HAP2,YGL237C,0.082732398,0.082732398,0.92616856,3.52E-08,3.39E-06
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,ASH1,YKL185W,-0.082680704,0.082680704,-0.916625846,9.02E-08,4.74E-06
dUDP,387,ARR1,YPR199C,0.082398407,0.082398407,0.180778359,0.472841441,0.539784943
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,BAS1,YKR099W,0.082079832,0.082079832,0.880457193,1.43E-06,2.35E-05
Inosine,267.07,SMP1,YBR182C,0.081972532,0.081972532,0.516752746,0.028104263,0.053070401
L-Glutamine,145.06,SUT1,YGL162W,-0.081372829,0.081372829,-0.874971726,2.01E-06,2.80E-05
Ornithine,131.08,ROX1,YPR065W,-0.081198232,0.081198232,-0.899423809,3.82E-07,1.12E-05
O-Phospho-L-serine,184,RPN4,YDL020C,0.08103414,0.08103414,0.76786583,0.000198506,0.00099305
Ornithine,131.08,LEU3,YLR451W,0.080670807,0.080670807,0.429581376,0.075213158,0.121498178
L-Proline,114.06,MOT3,YMR070W,0.080194519,0.080194519,0.620381348,0.006015828,0.015705256
Xanthine,151.03,YAP1,YML007W,0.079042381,0.079042381,0.660259991,0.0028619,0.008612743
L-Glutamine,145.06,STE12,YHR084W,-0.078288127,0.078288127,-0.923508592,4.63E-08,3.54E-06
L-Citrulline,174.09,MOT3,YMR070W,-0.07672218,0.07672218,-0.628070095,0.005253307,0.01412345
L-Glutamine,145.06,ARR1,YPR199C,0.07422026,0.07422026,0.239389163,0.338699183,0.412789629
Xanthine,151.03,GAL4,YPL248C,0.073193164,0.073193164,0.70653047,0.001046253,0.003609006
Ornithine,131.08,PDR1,YGL013C,0.073064478,0.073064478,0.5281236,0.024265826,0.04717395
Xanthine,151.03,SMP1,YBR182C,0.073035711,0.073035711,0.634547141,0.004673729,0.012925465
dUDP,387,GAT1,YFL021W,-0.072381536,0.072381536,-0.595775758,0.009079652,0.0216608
Fumarate,115,ARR1,YPR199C,-0.072297767,0.072297767,-0.547607598,0.01865239,0.037960296
Inosine,267.07,PHD1,YKL043W,0.071106288,0.071106288,0.149399166,0.554065636,0.61654645
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,OPI1,YHL020C,-0.070680327,0.070680327,-0.914154711,1.13E-07,4.80E-06
Ornithine,131.08,PUT3,YKL015W,-0.068801878,0.068801878,-0.540422321,0.020588598,0.041198754
Dethiobiotin,213.12,RPN4,YDL020C,-0.068792957,0.068792957,-0.72174283,0.000721004,0.002626861
Inosine,267.07,ADR1,YDR216W,0.068473934,0.068473934,0.388199145,0.111402606,0.168692852
Fumarate,115,MOT3,YMR070W,0.067987642,0.067987642,0.520801889,0.026686895,0.050947709
Inosine,267.07,THI2,YBR240C,0.067823689,0.067823689,0.172423186,0.493871473,0.560444409
Hypoxanthine,135.03,REB1,YBR049C,0.066467503,0.066467503,0.714378753,0.000865891,0.003064292
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,YAP5,YIR018W,0.065615378,0.065615378,0.671987248,0.002253762,0.007060557
Xanthosine 5-phosphate,363.03,SNT2,YGL131C,0.065252315,0.065252315,0.326065566,0.18666761,0.256081696
gamma-Amino-gamma-cyanobutanoate,127.05,STE12,YHR084W,-0.065194515,0.065194515,-0.925910781,3.61E-08,3.39E-06
Ornithine,131.08,YAP1,YML007W,0.064426351,0.064426351,0.755812756,0.00028551,0.001297488
Inosine,267.07,DAL82,YNL314W,0.063960134,0.063960134,0.223676967,0.372267777,0.44351853
dUDP,387,ROX1,YPR065W,-0.062697796,0.062697796,-0.840713122,1.25E-05,0.000116344
L-Citrulline,174.09,GAT1,YFL021W,-0.062689028,0.062689028,-0.621834741,0.005865203,0.015396157
Xanthosine 5-phosphate,363.03,DAL80,YKR034W,0.06238735,0.06238735,0.783843374,0.00011851,0.000678063
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,UME6,YDR207C,-0.061817523,0.061817523,-0.909590921,1.68E-07,5.65E-06
Inosine,267.07,SKN7,YHR206W,0.060506761,0.060506761,0.040957733,0.871809341,0.894271417
Hypoxanthine,135.03,DAL82,YNL314W,0.058993474,0.058993474,0.251748993,0.313572641,0.388862633
L-Glutamine,145.06,YAP1,YML007W,0.058759538,0.058759538,0.576001947,0.012359329,0.027368108
gamma-Amino-gamma-cyanobutanoate,127.05,CIN5,YOR028C,-0.05835985,0.05835985,-0.923760976,4.51E-08,3.54E-06
4-Aminobutanoate,102.06,LEU3,YLR451W,0.058353017,0.058353017,0.646149363,0.003766093,0.010822563
Hypoxanthine,135.03,LEU3,YLR451W,0.058219752,0.058219752,0.636015038,0.004549913,0.012656309
Pyruvate,87.01,YAP1,YML007W,-0.057999885,0.057999885,-0.749077611,0.000346768,0.001502661
L-Glutamine,145.06,CIN5,YOR028C,-0.057599694,0.057599694,-0.914722976,1.07E-07,4.74E-06
Fumarate,115,REB1,YBR049C,-0.057302787,0.057302787,-0.793374572,8.53E-05,0.000534718
dUDP,387,CIN5,YOR028C,-0.05710938,0.05710938,-0.94435181,3.88E-09,1.08E-06
Dethiobiotin,213.12,YAP5,YIR018W,0.057057092,0.057057092,0.631704884,0.004921279,0.01349351
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,MSN4,YKL062W,-0.056562363,0.056562363,-0.894468877,5.53E-07,1.29E-05
L-Proline,114.06,XBP1,YIL101C,0.055380377,0.055380377,0.779078675,0.000138818,0.00075489
L-Saccharopine,275.12,YAP5,YIR018W,0.054739424,0.054739424,0.699350881,0.001237632,0.004163933
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,LEU3,YLR451W,0.054365769,0.054365769,0.379947045,0.119887028,0.179267692
L-Saccharopine,275.12,HAP2,YGL237C,0.053235715,0.053235715,0.869300959,2.82E-06,3.48E-05
"But-1-ene-1,2,4-tricarboxylate",187.02,PUT3,YKL015W,-0.052642937,0.052642937,-0.744874887,0.000390322,0.001646591
"But-1-ene-1,2,4-tricarboxylate",187.02,SNT2,YGL131C,-0.051486052,0.051486052,-0.562473657,0.015102619,0.031858547
2-Oxoadipate,159.03,YAP1,YML007W,-0.050992729,0.050992729,-0.530193356,0.023613546,0.046140578
gamma-Amino-gamma-cyanobutanoate,127.05,UME6,YDR207C,-0.050495695,0.050495695,-0.853399894,6.70E-06,7.11E-05
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,HAP3,YBL021C,-0.050047704,0.050047704,-0.857231448,5.49E-06,6.07E-05
L-Proline,114.06,MSN4,YKL062W,0.049377422,0.049377422,0.879753592,1.50E-06,2.35E-05
L-Citrulline,174.09,PUT3,YKL015W,-0.048712996,0.048712996,-0.569938096,0.013535001,0.029325835
Xanthosine 5-phosphate,363.03,YAP7,YOL028C,0.048240515,0.048240515,0.732489799,0.000546273,0.002126124
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,YAP1,YML007W,0.047551292,0.047551292,0.703073996,0.001135056,0.003866473
Xanthine,151.03,YAP5,YIR018W,0.04711219,0.04711219,0.67084209,0.00230799,0.007183335
dUDP,387,STE12,YHR084W,-0.046819884,0.046819884,-0.938307499,8.68E-09,1.60E-06
Hypoxanthine,135.03,DAL80,YKR034W,0.046436772,0.046436772,0.440516525,0.067301758,0.110492834
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,PUT3,YKL015W,-0.045616838,0.045616838,-0.547224746,0.018751792,0.038081481
Hypoxanthine,135.03,CAD1,YDR423C,0.044703364,0.044703364,0.428151632,0.076296045,0.122935702
O-Phospho-L-serine,184,LEU3,YLR451W,0.044300328,0.044300328,0.335746705,0.173159361,0.243672709
Dethiobiotin,213.12,LEU3,YLR451W,-0.043304383,0.043304383,-0.353799482,0.149765295,0.216491285
Dethiobiotin,213.12,PDR1,YGL013C,0.042938912,0.042938912,0.560814716,0.01546983,0.032493441
Xanthosine 5-phosphate,363.03,LEU3,YLR451W,0.042057682,0.042057682,0.326285149,0.186353666,0.255898331
Xanthine,151.03,PDR1,YGL013C,0.041201298,0.041201298,0.53023441,0.023600748,0.046140578
"But-1-ene-1,2,4-tricarboxylate",187.02,ADR1,YDR216W,-0.041170359,0.041170359,-0.742600485,0.000415749,0.001724772
L-Proline,114.06,YAP1,YML007W,-0.04113589,0.04113589,-0.692741188,0.001438698,0.00478981
gamma-Amino-gamma-cyanobutanoate,127.05,ASH1,YKL185W,-0.040955806,0.040955806,-0.896862936,4.64E-07,1.21E-05
L-Citrulline,174.09,YAP1,YML007W,0.040615828,0.040615828,0.744586184,0.000393476,0.001652597
L-Proline,114.06,MCM1,YMR043W,0.040312699,0.040312699,0.29499937,0.234675623,0.309713478
NAD,662.1,PDR3,YBL005W,-0.039948869,0.039948869,-0.876058536,1.88E-06,2.73E-05
Hypoxanthine,135.03,GAL4,YPL248C,0.039433519,0.039433519,0.721747286,0.000720923,0.002626861
Deoxycytidine,226.08,YAP1,YML007W,0.039346531,0.039346531,0.718862986,0.000775041,0.002799818
dUDP,387,RAP1,YNL216W,0.03912467,0.03912467,0.913704361,1.18E-07,4.89E-06
Xanthosine 5-phosphate,363.03,SKN7,YHR206W,0.039123277,0.039123277,0.31130625,0.208581924,0.281310533
Dethiobiotin,213.12,HAP4,YKL109W,-0.039059853,0.039059853,-0.44437873,0.064660791,0.10689167
Dethiobiotin,213.12,PUT3,YKL015W,0.038989558,0.038989558,0.092618517,0.714720175,0.757952417
Xanthine,151.03,YAP6,YDR259C,0.038937793,0.038937793,0.611522728,0.00700321,0.01754015
L-Citrulline,174.09,ADR1,YDR216W,-0.038185647,0.038185647,-0.56223646,0.015154695,0.031894959
gamma-Amino-gamma-cyanobutanoate,127.05,YAP3,YHL009C,0.037914128,0.037914128,0.667889288,0.002452795,0.007584612
dUDP,387,UME6,YDR207C,-0.037893834,0.037893834,-0.884175851,1.13E-06,2.17E-05
L-Citrulline,174.09,HAP4,YKL109W,-0.036566389,0.036566389,-0.707037445,0.001033728,0.00357225
Ornithine,131.08,ADR1,YDR216W,-0.036528749,0.036528749,-0.50020373,0.03451431,0.063481084
Xanthosine 5-phosphate,363.03,MET31,YPL038W,-0.03596681,0.03596681,-0.547464001,0.018689624,0.037995608
L-Proline,114.06,RDS1,YCR106W,0.035089851,0.035089851,0.7489779,0.000347752,0.001503515
Ornithine,131.08,GAT1,YFL021W,-0.035015947,0.035015947,-0.590859368,0.009820657,0.022914867
L-Citrulline,174.09,REB1,YBR049C,0.034997474,0.034997474,0.824669962,2.55E-05,0.000208177
Dethiobiotin,213.12,SMP1,YBR182C,0.034781373,0.034781373,0.449413173,0.061334999,0.102367846
Deoxycytidine,226.08,GCR1,YPL075W,0.034528869,0.034528869,0.810053856,4.61E-05,0.00033462
O-Phospho-L-serine,184,SMP1,YBR182C,-0.034523932,0.034523932,-0.477013176,0.045322725,0.078881355
Deoxycytidine,226.08,SNT2,YGL131C,-0.034164927,0.034164927,-0.549636407,0.018132554,0.037099904
Hypoxanthine,135.03,MOT3,YMR070W,-0.034015404,0.034015404,-0.21616591,0.388948132,0.461951448
"But-1-ene-1,2,4-tricarboxylate",187.02,SKN7,YHR206W,-0.03398354,0.03398354,-0.574243222,0.012691581,0.027845708
Fumarate,115,SKN7,YHR206W,0.033797036,0.033797036,0.4464038,0.063307266,0.105383437
dUDP,387,MBP1,YDL056W,-0.033227592,0.033227592,-0.92804631,2.88E-08,3.24E-06
Xanthine,151.03,PHD1,YKL043W,0.033204397,0.033204397,0.137831203,0.585477355,0.642277397
L-Proline,114.06,GCR1,YPL075W,-0.032977057,0.032977057,-0.895124234,5.27E-07,1.29E-05
Deoxycytidine,226.08,YAP6,YDR259C,0.032641091,0.032641091,0.805626932,5.46E-05,0.000375381
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,TEC1,YBR083W,-0.032496098,0.032496098,-0.865835249,3.44E-06,4.08E-05
2-Oxoadipate,159.03,MOT3,YMR070W,0.032090834,0.032090834,0.507580261,0.03153114,0.058843759
L-Glutamine,145.06,UGA3,YDL170W,-0.032049664,0.032049664,-0.750461373,0.000333354,0.001461102
dUDP,387,ASH1,YKL185W,-0.031898459,0.031898459,-0.917827421,8.06E-08,4.74E-06
gamma-Amino-gamma-cyanobutanoate,127.05,RAP1,YNL216W,0.031859123,0.031859123,0.8880361,8.69E-07,1.81E-05
L-Glutamine,145.06,ROX1,YPR065W,-0.031486057,0.031486057,-0.798134581,7.20E-05,0.000463133
Xanthine,151.03,REB1,YBR049C,0.031427346,0.031427346,0.629352475,0.005134147,0.013916816
L-Glutamine,145.06,YAP3,YHL009C,0.031336341,0.031336341,0.655069397,0.003171052,0.009380621
Deoxycytidine,226.08,RPN4,YDL020C,-0.030951884,0.030951884,-0.638521477,0.004344687,0.012209848
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,ARR1,YPR199C,0.030888198,0.030888198,0.168400582,0.50415476,0.57102888
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,XBP1,YIL101C,-0.030556639,0.030556639,-0.866558004,3.30E-06,3.99E-05
NAD,662.1,YAP1,YML007W,0.030171841,0.030171841,0.636731325,0.004490474,0.012509177
Hypoxanthine,135.03,SMP1,YBR182C,0.029762148,0.029762148,0.678105297,0.001981538,0.006279799
Xanthine,151.03,NRG1,YDR043C,0.029718008,0.029718008,-0.048664896,0.847931907,0.873880994
"But-1-ene-1,2,4-tricarboxylate",187.02,ABF1,YKL112W,0.02927299,0.02927299,0.793128954,8.61E-05,0.000537611
Ornithine,131.08,SKN7,YHR206W,0.029102701,0.029102701,-0.446784754,0.063055021,0.105055052
Ornithine,131.08,RDS1,YCR106W,-0.02901069,0.02901069,-0.622245586,0.005823183,0.015327966
2-Oxoadipate,159.03,MCM1,YMR043W,0.028893398,0.028893398,0.347438687,0.157744595,0.225636168
L-Proline,114.06,UME6,YDR207C,0.028764069,0.028764069,0.824917974,2.52E-05,0.000206888
L-Citrulline,174.09,PDR1,YGL013C,0.028354735,0.028354735,0.429996732,0.0749007,0.121095802
Inosine,267.07,YAP7,YOL028C,0.02830983,0.02830983,0.392303872,0.107345489,0.16345596
dUDP,387,PDR1,YGL013C,0.027761725,0.027761725,0.442475574,0.065952347,0.108744552
Xanthine,151.03,ARR1,YPR199C,0.027483187,0.027483187,0.48234095,0.042638197,0.075167523
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,DAL82,YNL314W,0.027391471,0.027391471,-0.504332633,0.032818914,0.061008702
L-Citrulline,174.09,UME6,YDR207C,-0.027116816,0.027116816,-0.821108605,2.96E-05,0.000230609
Xanthine,151.03,GAT1,YFL021W,0.026849139,0.026849139,0.167501859,0.506466072,0.573035325
L-Glutamine,145.06,ASH1,YKL185W,-0.026834972,0.026834972,-0.883302961,1.19E-06,2.26E-05
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,GAT1,YFL021W,-0.026673215,0.026673215,-0.609039463,0.007302319,0.018170222
L-Proline,114.06,RAP1,YNL216W,-0.026325067,0.026325067,-0.842151599,1.17E-05,0.000110333
Ornithine,131.08,HAP4,YKL109W,-0.026290016,0.026290016,-0.691547562,0.001477744,0.004902725
L-Glutamine,145.06,SWI5,YDR146C,-0.026258492,0.026258492,-0.749982475,0.000337946,0.001477839
Deoxycytidine,226.08,MOT3,YMR070W,0.026229505,0.026229505,-0.151350951,0.548840269,0.612994596
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,ABF1,YKL112W,0.02621471,0.02621471,0.758563201,0.000263261,0.001223479
gamma-Amino-gamma-cyanobutanoate,127.05,YAP1,YML007W,0.025752896,0.025752896,0.597572174,0.008820389,0.02128253
O-Phospho-L-serine,184,PHD1,YKL043W,-0.025693001,0.025693001,-0.57403843,0.012730728,0.027899566
L-Saccharopine,275.12,YAP1,YML007W,0.025477729,0.025477729,0.570320953,0.013458235,0.029192608
dUDP,387,YAP1,YML007W,0.025353203,0.025353203,0.595897171,0.009061938,0.021646705
Dethiobiotin,213.12,PHD1,YKL043W,0.025051881,0.025051881,0.574351704,0.012670883,0.027832251
L-Glutamine,145.06,UME6,YDR207C,-0.024939918,0.024939918,-0.837999701,1.42E-05,0.000128785
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,MOT3,YMR070W,-0.024804565,0.024804565,-0.658318083,0.002974521,0.008881734
L-Proline,114.06,PHD1,YKL043W,-0.024618355,0.024618355,-0.542054647,0.020135464,0.040418982
Xanthosine 5-phosphate,363.03,PUT3,YKL015W,-0.024555451,0.024555451,0.015722791,0.950626063,0.960172519
Fumarate,115,MCM1,YMR043W,0.024528777,0.024528777,0.164586357,0.513998534,0.579841322
Inosine,267.07,ECM22,YLR228C,-0.024305044,0.024305044,-0.321064179,0.193913832,0.264693685
Inosine,267.07,GAT1,YFL021W,0.024099301,0.024099301,-0.142514751,0.572669923,0.631854632
gamma-Amino-gamma-cyanobutanoate,127.05,ZAP1,YJL056C,-0.023965418,0.023965418,-0.8887034,8.30E-07,1.76E-05
Deoxycytidine,226.08,YAP5,YIR018W,0.023492649,0.023492649,0.736561581,0.000490097,0.001959364
L-Proline,114.06,GAL4,YPL248C,-0.023212375,0.023212375,-0.360111945,0.142125669,0.20780578
Hypoxanthine,135.03,BAS1,YKR099W,0.023045997,0.023045997,0.73067614,0.000572976,0.002189915
L-Glutamine,145.06,RAP1,YNL216W,0.023035813,0.023035813,0.876678682,1.81E-06,2.69E-05
L-Citrulline,174.09,SNT2,YGL131C,-0.022835978,0.022835978,-0.359411943,0.142959252,0.208705218
gamma-Amino-gamma-cyanobutanoate,127.05,PDR1,YGL013C,0.022747515,0.022747515,0.380837351,0.118950343,0.178425515
