strain	growth	sd
YER154W	0.653136	0.034363
YER155C	0.87155	0.017552
YER156C	0.963742	0.014408
YER157W_damp	0.983017	0.006948
YER158C	1.064997	0.015025
YER159C_damp	0.96188	0.007509
YER161C	0.930444	0.007566
YER162C	0.85258	0.02733
YER163C	1.06052	0.009239
YER164W	0.961651	0.007592
YER165W_damp	0.796467	0.009512
YER166W	1.048434	0.00634
YER167W	0.986056	0.008186
YER168C_damp	1.044362	0.009038
YER169W_damp	0.964008	0.008578
YER170W	1.056456	0.004955
YER171W_damp	0.739896	0.016678
YER171W_tsq588	0.3549	0.018936
YER172C_damp	0.990699	0.008629
YER173W	1.007441	0.005876
YER174C	1.041564	0.007702
YER175C	1.041072	0.014897
YER175W-A	0.9666	0.009848
YER176W	1.036844	0.007495
YER177W	0.831287	0.015195
YER178W	0.834314	0.013342
YER179W	1.010807	0.009694
YER180C	1.021074	0.009098
YER180C-A	0.951155	0.013019
YER181C	0.995004	0.012324
YER182W	1.07264	0.00845
YER183C	1.048312	0.009376
YER184C	1.061139	0.007044
YER185W	1.010379	0.006537
YER186C	1.014852	0.006565
YER187W	1.036218	0.006264
YER188C-A	1.007943	0.018655
YER188W	1.050599	0.014363
YER189W	1.00931	0.007211
YFL001W	0.795108	0.018777
YFL003C	0.980324	0.019601
YFL004W	1.056933	0.010397
YFL006W	0.970341	0.011112
YFL007W	0.937672	0.011301
YFL008W_damp	1.002597	0.008136
YFL008W_tsq321	0.807193	0.012995
YFL009W_damp	1.020646	0.011198
YFL009W_tsq334	0.743914	0.017542
YFL009W_tsq415	0.882882	0.006208
YFL009W_tsq878	0.9129	0.008229
YFL010C	1.01386	0.012523
YFL010W-A	1.023854	0.008937
YFL011W	1.048476	0.008548
YFL012W	1.03638	0.009923
YFL013C	0.762615	0.017967
YFL013W-A	0.881297	0.023374
YFL014W	1.04213	0.008657
YFL015C	1.038717	0.010183
YFL016C	0.417248	0.050588
YFL017C_damp	0.963026	0.010333
YFL019C	1.047097	0.007405
YFL020C	1.01522	0.006154
YFL021W	1.010187	0.008565
YFL023W	0.722602	0.01122
YFL024C_damp	1.041686	0.006262
YFL025C	1.027561	0.009189
YFL027C	1.040573	0.006773
YFL028C	0.993359	0.006699
YFL029C_damp	0.830358	0.019738
YFL030W	1.071018	0.00887
YFL031W	0.989277	0.008302
YFL032W	0.980783	0.010284
YFL033C	0.958385	0.019644
YFL034C-A	1.026396	0.009731
YFL034C-B_damp	0.639066	0.035273
YFL034W	1.054623	0.007134
YFL035C-B	1.008235	0.008513
YFL036W	0.625621	0.019808
YFL038C_tsq591	0.871529	0.008123
YFL039C_damp	0.564523	0.009111
YFL039C_tsq136	0.914448	0.0075
YFL039C_tsq140	0.621404	0.010828
YFL039C_tsq141	0.578654	0.01565
YFL039C_tsq142	0.838582	0.010453
YFL039C_tsq218	0.379319	0.012839
YFL039C_tsq223	0.570379	0.017659
YFL040W	1.017062	0.004872
YFL041W	1.030235	0.008164
YFL041W-A	1.029404	0.010389
YFL042C	1.027051	0.010466
YFL043C	1.002565	0.01696
YFL044C	1.008527	0.005134
YFL045C_damp	0.687009	0.012705
YFL046W	1.036616	0.00723
YFL047W	1.042455	0.00741
YFL048C	1.024585	0.005174
YFL049W	0.983874	0.008419
YFL050C	0.997896	0.008762
YFL051C	0.996315	0.008184
YFL052W	1.012786	0.008086
YFL053W	1.022593	0.007417
YFL054C	1.020842	0.010745
YFL055W	1.0541	0.007405
YFL056C	1.065984	0.01047
YFL057C	1.056848	0.009345
YFL058W	1.012485	0.008548
YFL059W	1.065845	0.005773
YFL060C	0.94313	0.031226
YFL061W	1.048994	0.012285
YFL062W	1.079659	0.008747
YFL064C	1.024873	0.006806
YFL065C	0.967564	0.019709
YFL067W	1.021876	0.007575
YFR001W	0.307083	0.015176
YFR001W_damp	0.830607	0.006981
YFR002W_damp	0.84846	0.009662
YFR003C_damp	0.9803	0.00467
YFR004W_tsq521	0.773428	0.005691
YFR004W_tsq534	0.742415	0.008074
YFR005C_tsq700	0.54161	0.013017
YFR006W	0.979393	0.012298
YFR007W	1.002726	0.007077
YFR008W	0.926381	0.009711
YFR009W	0.911634	0.007473
YFR010W	0.807817	0.012723
YFR011C	0.92318	0.013285
YFR012W	0.98955	0.011624
YFR013W	0.96679	0.010582
YFR014C	1.03303	0.008496
YFR015C	1.006172	0.005641
YFR016C	1.014537	0.006176
YFR017C	1.012187	0.012393
YFR018C	1.045282	0.009274
YFR020W	1.027457	0.013342
YFR021W	1.002345	0.006829
YFR022W	1.059156	0.010269
YFR023W	1.004447	0.012763
YFR024C	0.96024	0.012399
YFR024C-A	1.04412	0.008757
YFR026C	1.014602	0.008128
YFR027W_damp	1.000788	0.006149
YFR028C_damp	0.992749	0.004802
YFR028C_tsq145	1.069989	0.009992
YFR028C_tsq416	0.880048	0.008708
YFR029W_damp	1.036123	0.012058
YFR030W	1.01828	0.006101
YFR031C_damp	0.973876	0.009169
YFR031C_tsq522	0.31098	0.018075
YFR031C-A	0.907439	0.010571
YFR032C	1.038004	0.007527
YFR032C-A	0.819008	0.011345
YFR032C-B	0.833871	0.012029
YFR033C	1.026955	0.007372
YFR034C	1.028573	0.006045
YFR035C	1.022379	0.007379
YFR036W	1.067345	0.02832
YFR036W_damp	0.996387	0.008687
YFR037C_damp	0.727888	0.009342
YFR038W	1.026616	0.010006
YFR039C	0.99601	0.01024
YFR040W	0.90104	0.010366
YFR041C	1.039789	0.006172
YFR044C	0.986961	0.010282
YFR045W	1.052873	0.007507
YFR046C	1.022619	0.005606
YFR047C	0.96358	0.007407
YFR048W	0.976234	0.013158
YFR049W	1.047872	0.014649
YFR050C_damp	0.559799	0.011518
YFR051C_damp	0.953247	0.00983
YFR051C_tsq823	0.934259	0.009424
YFR052W_damp	0.917055	0.006622
YFR052W_tsq405	0.522875	0.010772
YFR053C	1.046863	0.00719
YFR054C	1.05443	0.014868
YFR055W	1.084918	0.011528
YFR056C	1.000305	0.015674
YFR057W	1.039184	0.005483
YGL001C_damp	0.587347	0.010492
YGL001C_tsq742	1.019895	0.013471
YGL002W	0.993331	0.006521
YGL003C	0.755487	0.014556
YGL003C_damp	0.824051	0.010983
YGL004C	0.989174	0.007902
YGL005C	0.970993	0.008138
YGL006W	1.022946	0.00755
YGL006W-A	1.020099	0.013377
YGL007C-A	0.528554	0.015513
YGL007W	0.879311	0.022173
YGL008C_damp	0.932253	0.008667
YGL009C	1.04032	0.006018
YGL010W	1.000114	0.007519
YGL011C_damp	0.647384	0.024331
YGL012W	0.818114	0.01194
YGL013C	0.980958	0.012753
YGL014W	0.983178	0.006485
YGL015C	1.024212	0.008484
YGL016W	0.88028	0.010519
YGL017W	1.003868	0.006395
YGL018C_damp	0.998006	0.005888
YGL019W	0.81703	0.010788
YGL020C	0.932594	0.013398
YGL021W	1.029881	0.00919
YGL022W_damp	0.914133	0.011421
YGL022W_tsq544	0.677156	0.01487
YGL022W_tsq790	0.333316	0.011159
YGL023C	0.925583	0.008837
YGL024W	0.397953	0.060928
YGL024W_damp	0.981325	0.005795
YGL025C	0.339826	0.019093
YGL025C_damp	0.943638	0.011666
YGL027C	0.954279	0.01106
YGL028C	1.028521	0.013381
YGL029W	0.724453	0.043941
YGL031C	0.800299	0.017918
YGL032C	1.021895	0.007441
YGL033W_damp	0.967306	0.013061
YGL034C	1.039068	0.011048
YGL035C	1.056855	0.012165
YGL036W	0.979766	0.01725
YGL037C	1.021037	0.008595
YGL039W	1.03625	0.007934
YGL040C_damp	0.996107	0.011082
YGL041C	1.044476	0.013993
YGL042C	0.868995	0.027017
YGL043W	0.81014	0.012247
YGL044C_tsq652	0.830047	0.006823
YGL045W	0.883761	0.020324
YGL046W	0.859644	0.023074
YGL047W_damp	0.981567	0.004412
YGL048C_damp	0.917778	0.006258
YGL049C	0.383536	0.062133
YGL050W	0.989548	0.008117
YGL051W	1.021188	0.009632
YGL053W	1.027016	0.01059
YGL054C	1.002665	0.011412
YGL055W_damp	0.974588	0.011673
YGL055W_tsq506	0.708062	0.025136
YGL056C	1.015444	0.012697
YGL057C	0.996258	0.009262
YGL058W	0.431985	0.015232
YGL059W	1.044268	0.006858
YGL060W	0.982626	0.007144
YGL061C_damp	0.946665	0.008376
YGL061C_tsq239	0.759958	0.011263
YGL062W	1.036706	0.00754
YGL063W	0.996542	0.013565
YGL064C	0.519788	0.042656
YGL065C_damp	0.973688	0.00746
YGL065C_tsq461	0.816581	0.0072
YGL066W	0.728918	0.018046
YGL067W	1.004106	0.010357
YGL068W_damp	0.724859	0.033727
YGL069C_damp	0.648298	0.034948
YGL070C	0.410389	0.015643
YGL071W	0.790304	0.027545
YGL072C_damp	1.035704	0.012666
YGL073W_damp	1.04052	0.007683
YGL074C_damp	0.994249	0.010436
YGL075C_damp	0.961241	0.007453
YGL077C	0.997541	0.006789
YGL078C	0.681332	0.018816
YGL079W	0.988669	0.008274
YGL080W	0.984276	0.008994
YGL081W	0.995974	0.012523
YGL082W	1.054148	0.008556
YGL083W	1.033348	0.00652
YGL084C	0.881208	0.010002
YGL085W	0.997124	0.008621
YGL086W	0.990242	0.019926
YGL087C	0.997538	0.014142
YGL089C	1.096943	0.007413
YGL090W	1.0288	0.0091
YGL091C_damp	0.9761	0.010666
YGL092W_damp	0.986919	0.007975
YGL093W_damp	0.952291	0.010387
YGL093W_tsq446	0.935591	0.008286
YGL093W_tsq824	0.863911	0.008191
YGL094C	1.124561	0.011268
YGL095C	0.3822	0.025615
YGL096W	1.048796	0.007546
YGL097W_damp	0.972653	0.011864
YGL098W_damp	0.989498	0.00896
YGL098W_tsq592	1.011012	0.011174
YGL099W_damp	0.958021	0.009689
YGL100W	0.6423	0.036781
YGL101W	1.018344	0.007751
YGL102C_damp	0.590354	0.011292
YGL103W_damp	0.5363	0.022348
YGL104C	0.984546	0.007098
YGL105W	0.411783	0.02899
YGL107C	0.443498	0.044761
YGL107C_damp	1.013241	0.013938
YGL108C	1.024075	0.00926
YGL109W	1.040772	0.008062
YGL110C	0.970914	0.009293
YGL111W_damp	0.963709	0.012824
YGL112C_damp	0.893555	0.01183
YGL112C_tsq608	0.654494	0.011855
YGL113W_damp	1.017932	0.008478
YGL114W	1.013088	0.007984
YGL115W	0.855634	0.035187
YGL116W_damp	1.028643	0.006347
YGL116W_tsq368	0.977093	0.012509
YGL117W	1.004584	0.008313
YGL118C	1.046213	0.008975
YGL119W	0.757032	0.041
YGL120C_damp	1.002992	0.008251
YGL120C_tsq607	0.790473	0.00877
YGL121C	1.052366	0.010144
YGL122C_damp	0.968127	0.011586
YGL124C	0.836134	0.016726
YGL125W	1.021644	0.005587
YGL126W	0.9875	0.008206
YGL127C	0.661779	0.011878
YGL128C_damp	0.957036	0.008551
YGL129C	0.383634	0.038111
YGL129C_damp	1.003378	0.008396
YGL130W_tsq355	0.723125	0.015671
YGL130W_tsq358	0.664686	0.012691
YGL131C	0.997775	0.009721
YGL132W	1.030053	0.010512
YGL133W	0.94376	0.009835
YGL134W	1.074143	0.011381
YGL135W	0.565664	0.019901
YGL135W_damp	0.504637	0.012156
YGL137W_damp	0.921502	0.007457
YGL138C	1.035876	0.005869
YGL139W	1.022578	0.01027
YGL140C	1.037107	0.008175
YGL141W	1.045024	0.005894
YGL142C_damp	1.012855	0.009586
YGL143C	0.463495	0.102026
YGL143C_damp	0.951793	0.011648
YGL144C	0.986173	0.006645
YGL145W_damp	0.965952	0.010632
YGL145W_tsq271	0.722636	0.03874
YGL146C	1.013963	0.007841
YGL147C	0.830874	0.012038
YGL148W	0.907426	0.010379
YGL149W	0.856325	0.02053
YGL150C_damp	0.983206	0.009976
YGL151W	0.889862	0.012389
YGL152C	0.895992	0.012678
YGL153W	0.861431	0.011314
YGL155W_damp	0.984616	0.007873
YGL155W_tsq333	0.95718	0.010268
YGL156W	1.021819	0.004113
YGL157W	1.026943	0.008312
YGL158W	1.042552	0.007219
YGL159W	1.002403	0.007593
YGL160W	1.03993	0.008858
YGL161C	1.036405	0.00693
YGL162W	1.028571	0.00638
YGL163C	0.893383	0.012651
YGL164C	1.089354	0.015884
YGL165C	1.019997	0.010579
YGL166W	1.026639	0.006501
YGL167C	0.678016	0.016459
YGL168W	0.582288	0.019683
YGL169W_damp	1.038519	0.008439
YGL170C	1.004467	0.005154
YGL171W_damp	0.983336	0.008861
YGL172W_damp	0.924834	0.007667
YGL173C	0.551201	0.020737
YGL174W	0.836385	0.011079
YGL175C	0.993681	0.008167
YGL176C	1.051746	0.007033
YGL177W	1.072056	0.013894
YGL178W	1.112153	0.006522
YGL179C	1.024336	0.006712
YGL180W	0.93556	0.01045
YGL181W	1.041566	0.008781
YGL183C	1.075886	0.008667
YGL184C	1.01321	0.008834
YGL185C	1.03977	0.008509
YGL186C	0.787388	0.011289
YGL187C	0.681209	0.02714
YGL188C-A	0.342213	0.024372
YGL189C	0.442336	0.019345
YGL190C	0.629041	0.027499
YGL191W	0.891175	0.004774
YGL192W	1.014348	0.00728
YGL194C	0.96637	0.011999
YGL195W	0.945936	0.011306
YGL196W	1.001735	0.015752
YGL197W	1.000017	0.015101
YGL198W	1.029827	0.006858
YGL199C	1.014791	0.010863
YGL200C	1.036439	0.011057
YGL200C_damp	0.998015	0.003844
YGL201C_damp	1.02751	0.015192
YGL202W	0.941693	0.008435
YGL203C	0.968671	0.006725
YGL205W	0.977253	0.012095
YGL206C_damp	1.000228	0.008719
YGL207W_damp	0.97192	0.008166
YGL208W	0.997648	0.009648
YGL209W	0.98296	0.00798
YGL210W	0.964335	0.007086
YGL211W	0.872739	0.008123
YGL212W	0.608848	0.016023
YGL213C	0.923808	0.010727
YGL215W	0.993603	0.009459
YGL216W	0.982113	0.011061
YGL217C	0.965112	0.01381
YGL218W	0.465182	0.054765
YGL218W_damp	1.059811	0.011575
YGL220W	0.934563	0.011359
YGL220W_damp	0.940707	0.006557
YGL221C	0.965745	0.008243
YGL222C	1.010336	0.004654
YGL224C	1.028531	0.005659
YGL225W_damp	0.935045	0.007084
YGL226C-A	1.007855	0.007275
YGL226W	0.943299	0.010783
YGL227W	1.006058	0.006487
YGL228W	1.025084	0.013021
YGL229C	1.010326	0.010651
YGL230C	0.98356	0.008012
YGL231C	1.030329	0.006269
YGL232W	1.045687	0.01181
YGL233W_damp	0.999938	0.011703
YGL234W	1.051593	0.007968
YGL235W	0.939908	0.027544
YGL236C	0.925845	0.031289
YGL237C	0.803998	0.032837
YGL238W_damp	0.967292	0.006144
YGL240W	0.806796	0.019985
YGL241W	0.98674	0.007696
YGL242C	1.01492	0.008025
YGL243W	1.052305	0.010382
YGL244W	0.648719	0.026928
YGL245W_damp	1.028935	0.009472
YGL246C	0.338956	0.025535
YGL246C_damp	0.998583	0.009777
YGL247W_damp	0.615839	0.013364
YGL248W	1.022508	0.008718
YGL249W	0.992004	0.01119
YGL251C	0.910212	0.025142
YGL252C	0.66849	0.027791
YGL253W	0.933034	0.009563
YGL254W	0.981357	0.010316
YGL255W	0.823845	0.02881
YGL256W	1.052402	0.014395
YGL257C	1.018922	0.007484
YGL258W	1.015149	0.010292
YGL258W-A	1.05963	0.014472
YGL259W	1.061961	0.006988
YGL260W	1.046302	0.010861
YGL261C	0.995902	0.00839
YGL262W	1.049564	0.007306
YGL263W	1.038614	0.008077
YGR001C	1.001742	0.006805
YGR002C_damp	0.998277	0.007996
YGR003W	0.986176	0.005986
YGR004W	1.044051	0.008943
YGR005C_damp	0.930002	0.018185
YGR006W_tsq430	0.478597	0.013437
YGR006W_tsq434	0.463403	0.012753
YGR007W	1.008951	0.005569
YGR008C	1.024907	0.007538
YGR010W	1.05657	0.005013
YGR011W	1.031155	0.01377
YGR012W	1.032465	0.00614
YGR013W_damp	1.008128	0.004928
YGR014W	1.045173	0.007494
YGR015C	1.025279	0.008155
YGR016W	1.022135	0.007145
YGR017W	0.993219	0.005422
YGR018C	0.953227	0.064002
YGR019W	1.022576	0.006641
YGR020C	0.276304	0.019828
YGR020C_damp	0.501599	0.018422
YGR021W	1.04481	0.015419
YGR022C	1.031917	0.012011
YGR023W	1.066022	0.009302
YGR024C_damp	0.82838	0.011336
YGR025W	1.120909	0.016944
YGR026W	1.025579	0.008215
YGR027C	0.85263	0.010115
YGR028W	0.965576	0.016195
YGR029W_damp	0.99759	0.012465
YGR030C_damp	0.878132	0.009799
YGR031W	1.016705	0.008102
YGR032W	1.013248	0.011298
YGR033C	1.018321	0.009468
YGR034W	0.877265	0.022166
YGR035C	1.012653	0.009968
YGR035W-A	1.09464	0.015925
YGR036C	0.418516	0.025174
YGR036C_damp	0.986335	0.010948
YGR037C	1.044245	0.009777
YGR038W	0.988416	0.006191
YGR039W	0.988491	0.013372
YGR040W	0.988161	0.008523
YGR041W	0.986617	0.00845
YGR042W	0.992653	0.009867
YGR043C	1.022528	0.007472
YGR044C	1.060751	0.007509
YGR045C	1.036314	0.006844
YGR046W_damp	1.028346	0.007519
YGR047C_damp	0.999202	0.006816
YGR048W_tsq677	0.826641	0.015864
YGR049W	1.050908	0.006048
YGR050C	1.043965	0.011477
YGR051C	1.085368	0.010076
YGR052W	1.035426	0.011771
YGR053C	0.980209	0.011238
YGR054W	0.979361	0.010972
YGR055W	1.002275	0.01525
YGR057C	0.780167	0.010672
YGR057C_damp	0.855779	0.00685
YGR058W	0.943531	0.013291
YGR059W	1.038241	0.009622
YGR060W_damp	0.889368	0.010201
YGR061C	1.039771	0.009524
YGR062C	0.720369	0.041544
YGR062C_damp	0.955731	0.007628
YGR063C	0.514447	0.028156
YGR063C_damp	0.631676	0.008721
YGR064W_damp	1.012442	0.00786
YGR065C_damp	1.019167	0.006708
YGR066C	1.043804	0.005927
YGR067C	1.040306	0.005932
YGR068C	1.00666	0.006048
YGR069W	1.017187	0.010936
YGR070W	1.034916	0.008247
YGR071C	1.062418	0.006323
YGR072W	1.002811	0.009325
YGR073C_damp	1.015316	0.007571
YGR075C_damp	0.938671	0.011935
YGR075C_tsq480	1.061725	0.009638
YGR076C	0.546329	0.047719
YGR076C_damp	0.509266	0.030599
YGR077C	0.85561	0.011935
YGR078C	0.667206	0.021798
YGR079W	0.97249	0.007616
YGR080W	0.999472	0.016291
YGR081C	0.846644	0.013087
YGR082W_damp	0.860736	0.009774
YGR083C_damp	0.972232	0.008744
YGR084C	0.977204	0.006965
YGR085C	0.801187	0.011819
YGR086C	0.991961	0.009626
YGR087C	1.024153	0.006323
YGR088W	1.043803	0.007081
YGR089W	0.960545	0.010022
YGR090W_damp	1.034271	0.01008
YGR091W_damp	1.006073	0.010096
YGR091W_tsq400	0.938333	0.007537
YGR091W_tsq472	0.926078	0.009914
YGR092W	0.729719	0.036724
YGR092W_damp	1.007995	0.005334
YGR092W_tsq158	0.975575	0.008312
YGR092W_tsq159	0.950699	0.008368
YGR093W	1.005681	0.007828
YGR094W_damp	1.009073	0.006372
YGR095C_damp	0.822446	0.011249
YGR096W	1.065121	0.007969
YGR097W	0.461021	0.088762
YGR099W_damp	0.970902	0.01483
YGR099W_tsq604	1.017129	0.007567
YGR100W	0.975879	0.008634
YGR101W	0.738586	0.023358
YGR102C	1.000418	0.010499
YGR102C_damp	0.995693	0.006868
YGR103W_damp	0.874046	0.012888
YGR103W_tsq447	0.618745	0.009832
YGR104C	0.448644	0.012195
YGR104C_damp	0.925737	0.007827
YGR105W	0.420302	0.018839
YGR106C	1.033415	0.006666
YGR107W	0.98812	0.015236
YGR108W	1.006852	0.013356
YGR109C	1.031477	0.007603
YGR110W	0.995661	0.007415
YGR111W	1.007961	0.008597
YGR112W	0.798607	0.054171
YGR112W_damp	1.010575	0.006138
YGR113W_damp	0.973079	0.012375
YGR113W_tsq240	0.877735	0.010438
YGR114C_damp	0.989859	0.00594
YGR115C_damp	0.634227	0.015544
YGR116W_damp	0.97629	0.008251
YGR117C	1.008092	0.007404
YGR118W	0.807152	0.01397
YGR119C_damp	0.85345	0.008051
YGR120C_damp	0.967876	0.005242
YGR120C_tsq187	1.034002	0.008388
YGR121C	1.065876	0.01204
YGR121W-A	1.022398	0.004422
YGR122C-A	0.962423	0.012098
YGR122W	0.872567	0.02778
YGR123C	1.06332	0.006506
YGR124W	1.022228	0.006219
YGR125W	0.866275	0.022789
YGR126W	1.064262	0.009454
YGR127W	1.015068	0.008161
YGR128C_damp	0.94493	0.008427
YGR129W	1.002355	0.005822
YGR130C	1.030755	0.007625
YGR131W	1.065925	0.008802
YGR132C	1.00388	0.009724
YGR133W	0.908628	0.010368
YGR134W	0.987118	0.007076
YGR135W	0.845454	0.009415
YGR136W	1.046878	0.008544
YGR137W	1.020492	0.009519
YGR138C	1.009271	0.005236
YGR139W	1.006696	0.016676
YGR140W_tsq133	0.979605	0.008969
YGR140W_tsq221	1.050136	0.007649
YGR141W	0.956416	0.007634
YGR142W	0.998109	0.00568
YGR143W	1.039329	0.007377
YGR144W	1.056627	0.006454
YGR145W_damp	0.987249	0.009825
YGR146C	1.077489	0.007597
YGR146C-A	1.020358	0.009879
YGR147C_damp	0.964994	0.008644
YGR148C	0.875595	0.008151
YGR149W	1.025186	0.007108
YGR150C	0.311065	0.024738
YGR150C_damp	0.979265	0.010526
YGR151C	1.000855	0.01267
YGR152C	1.015971	0.015415
YGR153W	1.007351	0.00846
YGR154C	0.975628	0.016151
YGR155W	0.438773	0.022958
YGR155W_damp	0.506815	0.02453
YGR156W_damp	0.985163	0.004676
YGR156W_tsq477	0.789056	0.015058
YGR156W_tsq835	0.815679	0.00887
YGR157W	0.626313	0.016917
YGR158C_damp	0.744843	0.021471
YGR159C_damp	0.986611	0.005699
YGR161C	1.02618	0.010342
YGR161W-C	1.036194	0.007725
YGR162W	0.533976	0.025979
YGR163W	0.754557	0.021856
YGR164W	0.989655	0.014982
YGR165W	0.589655	0.089876
YGR165W_damp	1.001008	0.011075
YGR166W	0.957032	0.007474
YGR167W_damp	0.800304	0.007121
YGR168C	1.000235	0.008198
YGR169C	1.034501	0.008726
YGR169C-A	0.960587	0.009115
YGR170W	1.00219	0.00547
YGR171C	0.423529	0.039288
YGR171C_damp	0.978465	0.007802
YGR173W	1.06641	0.00955
YGR174C	0.966831	0.012225
YGR175C_damp	1.050318	0.009228
YGR176W	1.021068	0.013019
YGR177C	1.056862	0.008656
YGR178C	1.048613	0.013882
YGR179C_damp	1.060022	0.014364
YGR179C_tsq227	0.852071	0.01058
YGR180C_damp	1.044839	0.009035
YGR181W	1.064954	0.012577
YGR182C	1.01323	0.021558
YGR183C	0.82914	0.042518
YGR184C	1.00025	0.012824
YGR185C_tsq290	0.942877	0.009165
YGR186W_damp	1.01719	0.007572
YGR187C	0.977963	0.009157
YGR188C	0.417163	0.022295
YGR189C	1.010125	0.007971
YGR190C_damp	0.968021	0.005726
YGR192C	0.987859	0.008289
YGR193C	1.011273	0.006603
YGR194C	1.012322	0.006443
YGR195W_damp	0.96128	0.010886
YGR196C	1.063952	0.008201
YGR197C	1.018397	0.011296
YGR198W_damp	0.581925	0.01362
YGR199W	1.016474	0.009376
YGR200C	0.787754	0.009276
YGR201C	1.059592	0.00766
YGR202C	1.03379	0.005652
YGR203W	1.000379	0.007613
YGR204C-A	1.050186	0.008947
YGR204W	0.281692	0.015167
YGR204W_damp	0.955903	0.011062
YGR205W	1.008446	0.005367
YGR206W	1.02781	0.011113
YGR207C	1.026821	0.008195
YGR208W	0.921564	0.013378
YGR209C	1.09133	0.009617
YGR210C	1.034191	0.009968
YGR211W_tsq547	0.665082	0.007122
YGR212W	1.053195	0.013699
YGR213C	1.060371	0.007435
YGR214W	0.823729	0.012644
YGR215W	0.566875	0.049262
YGR215W_damp	0.482832	0.030238
YGR216C_damp	1.022462	0.005475
YGR216C_tsq548	0.97128	0.006588
YGR217W	1.068556	0.011105
YGR218W_damp	0.941394	0.016029
YGR220C	0.430616	0.098869
YGR220C_damp	0.9272	0.015707
YGR221C	1.014623	0.007133
YGR222W	0.732162	0.033893
YGR222W_damp	0.986494	0.008355
YGR223C	0.986356	0.010429
YGR224W	1.002014	0.006526
YGR225W	1.013227	0.006665
YGR226C	1.001518	0.00706
YGR227W	1.015652	0.012258
YGR228W	0.970206	0.011117
YGR229C	0.777685	0.015147
YGR230W	1.053438	0.01011
YGR231C	0.967894	0.00953
YGR232W	0.995801	0.007803
YGR233C	1.0282	0.004988
YGR234W	1.052084	0.007141
YGR235C	1.055948	0.007237
YGR236C	1.001412	0.011163
YGR237C	0.922344	0.00734
YGR238C	1.030246	0.008491
YGR239C	0.988023	0.009863
YGR240C	0.460384	0.028884
YGR240C_damp	0.953651	0.011582
YGR240C-A	1.101595	0.013543
YGR241C	1.046278	0.009144
YGR242W	0.998824	0.010085
YGR243W	1.055993	0.009542
YGR244C	1.050313	0.008936
YGR245C_tsq523	0.60663	0.018167
YGR247W	1.030412	0.006659
YGR248W	1.039576	0.008695
YGR249W	1.050289	0.010806
YGR250C	1.03234	0.011139
YGR251W_damp	1.018946	0.020683
YGR253C_damp	0.595174	0.015318
YGR254W	1.022514	0.007732
YGR255C	0.803319	0.024235
YGR256W	1.034812	0.007428
YGR257C	0.740591	0.040684
YGR258C	0.945379	0.012972
YGR258C_damp	0.966853	0.010867
YGR259C	1.00846	0.013475
YGR260W	0.980055	0.005313
YGR261C	0.964971	0.011481
YGR262C	1.009241	0.010429
YGR262C_damp	0.659643	0.011967
YGR263C	1.007004	0.007044
YGR264C_damp	0.998256	0.005337
YGR265W_damp	1.012817	0.00921
YGR266W	1.090709	0.021744
YGR267C_damp	0.95017	0.007775
YGR268C	0.994378	0.014281
YGR269W	0.985672	0.010764
YGR270W	0.80656	0.011758
YGR271W	0.99725	0.007637
YGR273C	1.022142	0.006354
YGR274C_damp	0.97484	0.011622
YGR274C_tsq524	0.879292	0.010692
YGR274C_tsq525	0.807254	0.008314
YGR275W	1.007431	0.007379
YGR276C	1.017579	0.008655
YGR277C_damp	0.972686	0.010159
YGR278W_damp	1.008339	0.008575
YGR279C	1.03274	0.010398
YGR280C_damp	0.969532	0.014241
YGR281W	0.986222	0.012372
YGR282C	1.054578	0.007344
YGR283C	0.971724	0.006171
YGR284C	0.999415	0.007773
YGR285C	0.366723	0.015159
YGR285C_damp	1.016159	0.009447
YGR286C	0.96902	0.012716
YGR287C	1.038234	0.007518
YGR288W	1.018104	0.00528
YGR289C	1.01859	0.007264
YGR290W	1.031083	0.008568
YGR291C	1.060491	0.010914
YGR292W	0.996124	0.01459
YGR294W	0.99228	0.007351
YGR296W	1.091238	0.009391
YHL001W	0.90747	0.00954
YHL002W	1.01622	0.008731
YHL003C	1.040804	0.012234
YHL004W	0.292047	0.017178
YHL006C	0.994237	0.011461
YHL008C	1.007453	0.008787
YHL009C	0.987859	0.010368
YHL010C	1.00618	0.006832
YHL011C_damp	0.876129	0.005418
YHL012W	1.018973	0.009216
YHL013C	0.936223	0.010141
YHL014C	1.016904	0.007766
YHL015W_damp	0.861344	0.013315
YHL015W-A	1.017192	0.00649
YHL016C	1.01052	0.007985
YHL017W	1.003981	0.008746
YHL019C	0.979701	0.00877
YHL020C	0.947304	0.008205
YHL021C	0.996775	0.012283
YHL022C	1.005155	0.007725
YHL023C	0.910616	0.011343
YHL024W	1.008395	0.009802
YHL025W	0.430449	0.045005
YHL025W_damp	0.915489	0.008151
YHL026C	0.989429	0.007411
YHL027W	0.731838	0.021975
YHL028W	0.97467	0.008535
YHL029C	0.938742	0.007867
YHL030W	1.112969	0.00653
YHL032C	1.026499	0.007734
YHL033C	0.860421	0.0103
YHL034C	0.89773	0.020273
YHL035C	1.025226	0.009251
YHL036W	0.991866	0.007839
YHL037C	0.984389	0.007943
YHL038C	0.687212	0.044119
YHL038C_damp	0.996544	0.006023
YHL039W	1.005535	0.007737
YHL040C	0.975394	0.007354
YHL041W	0.965785	0.010548
